index,smiles
0,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
1,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
2,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
3,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
4,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
5,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
6,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
7,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
8,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
9,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
10,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
11,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
12,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
13,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
14,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
15,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
16,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
17,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
18,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
19,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
20,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
21,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
22,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
23,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
24,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
25,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
26,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
27,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
28,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
29,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
30,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
31,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
32,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
33,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
34,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
35,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
36,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
37,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
38,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
39,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
40,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
41,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
42,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
43,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
44,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3C1C2)OCO4
