idx,smiles,BBBP,group,img_path
0.0,CCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,1.0,train,../data/images/BBBP/0.png
1.0,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,1.0,train,../data/images/BBBP/1.png
2.0,CN(C)[C@@H](CCOc1cccc2ccccc12)c1ccccc1,1.0,train,../data/images/BBBP/2.png
3.0,CCC(=O)O[C@]1(C(=O)SCCl)[C@H](C)C[C@H]2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1.0,train,../data/images/BBBP/3.png
4.0,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCn2ccnc2[C@H]1CN1CCCC1,1.0,train,../data/images/BBBP/4.png
5.0,CCCCC(=O)O[C@]1(C(=O)CO)CCC2C3CC(F)C4=CC(=O)C=CC4(C)C3C(O)CC21C,1.0,train,../data/images/BBBP/5.png
6.0,C=CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,1.0,train,../data/images/BBBP/6.png
7.0,C[C@@H]1N=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2NC1=O,1.0,train,../data/images/BBBP/7.png
8.0,C1=C(CC2=NCNC2)CCc2ccccc21,1.0,train,../data/images/BBBP/8.png
9.0,CCN(CC)C(C)=NN=Cc1c2c(O)c3c(O)c(C)c4c(c3c1O)C(=O)C(C)(OC=CC(OC)C(C)C(OC(C)=O)C(C)C(O)C(C)C(O)C(C)C=CC=C(C)C(=O)N2)O4,0.0,train,../data/images/BBBP/9.png
10.0,COCOC(=O)C1N2C(=O)C(N3C(=O)C(c4ccc(O)cc4)NC3(C)C)C2SC1(C)C,0.0,train,../data/images/BBBP/10.png
11.0,C[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F,1.0,train,../data/images/BBBP/11.png
12.0,CCC(=O)[C@@]1(C)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,1.0,train,../data/images/BBBP/12.png
13.0,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,0.0,train,../data/images/BBBP/13.png
14.0,O=C1NCCCC1N1C(=O)c2ccccc2S1(=O)=O,1.0,train,../data/images/BBBP/14.png
15.0,CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,0.0,train,../data/images/BBBP/15.png
16.0,CN1C[C@@H](CC#N)CC2c3cccc4[nH]cc(c34)C[C@H]21,1.0,train,../data/images/BBBP/16.png
17.0,Clc1ccc([C@@H]2[C@H]3CC[C@@H](C3)C23CCC(N2CCOCC2)=N3)cc1,1.0,train,../data/images/BBBP/17.png
18.0,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,1.0,train,../data/images/BBBP/18.png
19.0,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,0.0,train,../data/images/BBBP/19.png
20.0,c1csc(Cc2ccccc2OCC2CNCCO2)c1,1.0,train,../data/images/BBBP/20.png
21.0,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,0.0,train,../data/images/BBBP/21.png
22.0,CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(ccc(N)c4O)C[C@H]3C[C@@H]12,0.0,train,../data/images/BBBP/22.png
23.0,CCCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1.0,train,../data/images/BBBP/23.png
24.0,NC(=O)CN1CC(O)CC1=O,1.0,train,../data/images/BBBP/24.png
25.0,Nc1cccc(-n2ccccc2=O)c1,1.0,train,../data/images/BBBP/25.png
26.0,FC(F)OC(F)C(F)(F)F,1.0,train,../data/images/BBBP/26.png
27.0,C=CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)NC)c(N)cc1OC,1.0,train,../data/images/BBBP/27.png
28.0,CC(=O)OCC(=O)[C@H]1[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)C3(Cl)[C@@H](O)C[C@@]21C,1.0,train,../data/images/BBBP/28.png
29.0,CCOC(=O)OC1(C(=O)OCCl)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,1.0,train,../data/images/BBBP/29.png
30.0,CN1/C(=C(/O)Nc2ccccn2)C(=O)c2ccccc2S1(=O)=O,0.0,train,../data/images/BBBP/30.png
31.0,CSc1c(Cl)nc(NC(C)C)nc1N1CCN(C)CC1,1.0,train,../data/images/BBBP/31.png
32.0,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,1.0,train,../data/images/BBBP/32.png
33.0,CCCC(=O)N(C)Cc1c(-c2ccc(Cl)cc2)nc2ccccn12,1.0,train,../data/images/BBBP/33.png
34.0,CC1=CCC2C3Cc4ccc(O)c5c4C2(CCN3C)C1O5,1.0,train,../data/images/BBBP/34.png
35.0,NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,1.0,train,../data/images/BBBP/35.png
36.0,CCN1CCCC1CNC(=O)c1cc(C(C)=O)ccc1OC,1.0,train,../data/images/BBBP/36.png
37.0,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,0.0,train,../data/images/BBBP/37.png
38.0,CN(C)[C@@H]1C(=O)/C(=C(/O)NCN2CCCC(C(=O)O)C2)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,0.0,train,../data/images/BBBP/38.png
39.0,CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1.0,train,../data/images/BBBP/39.png
40.0,CN1CCN(C2=Nc3cscc3/C(=C/C#N)c3cscc32)CC1,1.0,train,../data/images/BBBP/40.png
41.0,CN1Cc2c(-c3noc([C@](C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O,0.0,train,../data/images/BBBP/41.png
42.0,CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1.0,train,../data/images/BBBP/42.png
43.0,CCN(CC)S(=O)(=O)N[C@H]1C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,1.0,train,../data/images/BBBP/43.png
44.0,CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl,1.0,train,../data/images/BBBP/44.png
45.0,FC(F)(F)c1cccc(C2=CCN(CCc3ccc4ccccc4c3)CC2)c1,1.0,train,../data/images/BBBP/45.png
46.0,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COP(=O)(O)O,1.0,train,../data/images/BBBP/46.png
47.0,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,1.0,train,../data/images/BBBP/47.png
48.0,C=CCC(N)c1ccccc1-c1noc2ccccc12,1.0,train,../data/images/BBBP/48.png
49.0,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0.0,train,../data/images/BBBP/49.png
50.0,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,1.0,train,../data/images/BBBP/50.png
51.0,CCC1C(=O)NC(=O)C1(C)c1ccccc1,1.0,train,../data/images/BBBP/51.png
52.0,CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1,1.0,train,../data/images/BBBP/52.png
53.0,CN1C[C@H](CN2CC(=O)NC(=O)C2)C=C2c3cccc4[nH]cc(c34)C[C@H]21,1.0,train,../data/images/BBBP/53.png
54.0,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,1.0,train,../data/images/BBBP/54.png
55.0,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,1.0,train,../data/images/BBBP/55.png
56.0,O=C(Oc1ccccc1C(=O)O)c1ccccc1O,1.0,train,../data/images/BBBP/56.png
57.0,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1CC1C3C[C@H](F)C4=CC(=O)C=CC4(C)[C@H]3C(O)CC12C,1.0,train,../data/images/BBBP/57.png
58.0,CN1C2CCC1CC(OC(=O)C(O)c1ccccc1)C2,0.0,train,../data/images/BBBP/58.png
59.0,CCC(CC)(CNC(=O)CCCO)c1cccc(OC)c1,1.0,train,../data/images/BBBP/59.png
60.0,NC(=O)C1c2ccccc2C=Cc2ccccc21,1.0,train,../data/images/BBBP/60.png
61.0,NC(=O)N1CC(Oc2cccc(C(F)(F)F)c2)C1,1.0,train,../data/images/BBBP/61.png
62.0,CN1C(=O)CC(C)(c2ccccc2)C1=O,1.0,train,../data/images/BBBP/62.png
63.0,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,0.0,train,../data/images/BBBP/63.png
64.0,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,1.0,train,../data/images/BBBP/64.png
65.0,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0,train,../data/images/BBBP/65.png
66.0,CNC(=O)N1CC(Oc2cccc(C(F)(F)F)c2)C1,1.0,train,../data/images/BBBP/66.png
67.0,CCOC(=O)c1ccc(N)cc1,1.0,train,../data/images/BBBP/67.png
68.0,O=C(CCCl)NCc1ccccc1,1.0,train,../data/images/BBBP/68.png
69.0,O=C(O)CCCCCCCC(=O)O,0.0,train,../data/images/BBBP/69.png
70.0,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CS[C@H]12)c1csc(N)n1,1.0,train,../data/images/BBBP/70.png
71.0,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,1.0,train,../data/images/BBBP/71.png
72.0,CCOC(=O)N1CCC(=O)N(c2ccccc2)c2cc(Cl)ccc21,1.0,train,../data/images/BBBP/72.png
73.0,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1.0,train,../data/images/BBBP/73.png
74.0,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,0.0,train,../data/images/BBBP/74.png
75.0,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,0.0,train,../data/images/BBBP/75.png
76.0,CN1CCC(=C2c3ccccc3Sc3ccccc32)CC1,1.0,train,../data/images/BBBP/76.png
77.0,CN1CC[C@]23c4c5ccc(O)c4O[C@@]2(C)C(=O)CC[C@H]3[C@H]1C5,1.0,train,../data/images/BBBP/77.png
78.0,CC(=O)[C@@]1(O)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1.0,train,../data/images/BBBP/78.png
79.0,CCOc1ccc(NC(C)=O)cc1,0.0,train,../data/images/BBBP/79.png
80.0,NCC1CCC(N)C(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)O1,0.0,train,../data/images/BBBP/80.png
81.0,O=C1CCCN1CCCCN1CCN(c2cc(C(F)(F)F)cc(Cl)n2)CC1,1.0,train,../data/images/BBBP/81.png
82.0,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@@H](CN1CCCC1)c1ccccc1,1.0,train,../data/images/BBBP/82.png
83.0,CCCC[C@@H]1CC(=O)[C@]2(O)O[C@@H]3[C@@H](NC)[C@@H](O)[C@@H](NC)[C@H](O)[C@H]3O[C@@H]2O1,0.0,train,../data/images/BBBP/83.png
84.0,CC1=NN(c2ccccc2)C(=O)C1,1.0,train,../data/images/BBBP/84.png
85.0,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,1.0,train,../data/images/BBBP/85.png
86.0,C[C@@H]1CC2[C@@H]3C[C@H](F)C4=CC(=O)C(Cl)=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,1.0,train,../data/images/BBBP/86.png
87.0,N#CCCN1C(=O)C(O)N=C(c2ccccc2F)c2cc(Cl)ccc21,1.0,train,../data/images/BBBP/87.png
88.0,CN(C)C1CCc2[nH]c3c(F)cc(F)cc3c2C1,1.0,train,../data/images/BBBP/88.png
89.0,NC/C(=C/F)CCc1ccc(F)cc1,1.0,train,../data/images/BBBP/89.png
90.0,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,1.0,train,../data/images/BBBP/90.png
91.0,CCOC(=O)C1(c2ccccc2)CCC=CC1N(C)C,1.0,train,../data/images/BBBP/91.png
92.0,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)C3(Cl)[C@@H](F)C[C@]2(C)[C@H]1C(=O)CO,1.0,train,../data/images/BBBP/92.png
93.0,CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,1.0,train,../data/images/BBBP/93.png
94.0,CC(=O)NCCCN1CCN(c2cc(Cl)ccc2Cl)CC1,1.0,train,../data/images/BBBP/94.png
95.0,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,0.0,train,../data/images/BBBP/95.png
96.0,CC(=O)OCC(=O)C12N=C(C)OC1CC1C3CCC4=CC(=O)C=CC4(C)[C@@]3(F)C(O)CC12C,1.0,train,../data/images/BBBP/96.png
97.0,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccc(Cl)cc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,1.0,train,../data/images/BBBP/97.png
98.0,CC1(C)OC(=O)NC1=O,1.0,train,../data/images/BBBP/98.png
99.0,Clc1ccc(C(OCCN2CCOCC2)c2ccccc2)cc1,1.0,train,../data/images/BBBP/99.png
100.0,CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@H]2C,1.0,train,../data/images/BBBP/100.png
101.0,CCCCC1(CCOC(N)=O)C(=O)NC(=O)NC1=O,1.0,train,../data/images/BBBP/101.png
102.0,Cc1nc2n(n1)C(N1CCN(C)CC1)=Nc1ccccc1C2,1.0,train,../data/images/BBBP/102.png
103.0,CC[C@H](NC(=O)c1c(O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,1.0,train,../data/images/BBBP/103.png
104.0,CCN1CCC(=C(c2ccccc2)c2ccccc2)C1,1.0,train,../data/images/BBBP/104.png
105.0,OCc1ccccc1,1.0,train,../data/images/BBBP/105.png
106.0,COCC(=O)N(c1ccccc1F)C1CCN(CCc2ccccc2)CC1,1.0,train,../data/images/BBBP/106.png
107.0,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,1.0,train,../data/images/BBBP/107.png
108.0,CC(=O)NNC(=O)CC(O)(c1ccccc1)c1ccccc1,1.0,train,../data/images/BBBP/108.png
109.0,CCC(C)(CC)OC(N)=O,1.0,train,../data/images/BBBP/109.png
