idx,smiles,CYP3A4,group,img_path
0.0,CCN1CCN(CC(=O)Nc2ccc(-c3cccc4c(=O)cc(N5CCOCC5)oc34)c3sc4ccccc4c23)CC1,0.0,train,../data/images/CYP3A4/0.png
1.0,Cc1cc(NCc2c(Cl)cccc2Cl)c2cccc(C(N)=O)c2n1,1.0,train,../data/images/CYP3A4/1.png
2.0,CO[C@@H]1COC(=O)C/C=C/[C@@H](C)[C@@H]2C=C[C@H](O)[C@@H](COC(=O)[C@H](C)NC(=O)C/C=C/[C@H]1C)O2,0.0,train,../data/images/CYP3A4/2.png
3.0,COC(=O)CSc1ncc(OC)c(OC)n1,0.0,train,../data/images/CYP3A4/3.png
4.0,CC1CCCC(n2c(=S)[nH]c3ccccc3c2=O)C1C,1.0,train,../data/images/CYP3A4/4.png
5.0,NC(=O)C1(N2CCCCC2)CCN(C(S)=Nc2ccc(Cl)cc2)CC1,0.0,train,../data/images/CYP3A4/5.png
6.0,C/C(=N/Nc1nc(C)cc(O)n1)C(=O)O,0.0,train,../data/images/CYP3A4/6.png
7.0,Cc1cc(=O)[nH]c2ccccc12,0.0,train,../data/images/CYP3A4/7.png
8.0,Cc1ccc(O)c(C(=O)c2cc(C#N)c(=O)n(-c3c(C)n(C)n(-c4ccccc4)c3=O)c2)c1,1.0,train,../data/images/CYP3A4/8.png
9.0,S=C(NCCSCc1c(Cl)cccc1Cl)Nc1ccccc1,1.0,train,../data/images/CYP3A4/9.png
10.0,COC(=O)c1ccc(C2C(Oc3ccccc3)C(=O)N2CCc2ccc(OC)c(OC)c2)cc1,1.0,train,../data/images/CYP3A4/10.png
11.0,Fc1cccc(C[C@@H]2C[C@H]2NCCc2ccnc(-n3ccnc3)n2)c1,1.0,train,../data/images/CYP3A4/11.png
12.0,CS(=O)(=O)N1CCC2(CCN(c3ccncc3)CC2)CC1,0.0,train,../data/images/CYP3A4/12.png
