idx,smiles,ClinTox,group,img_path
0.0,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,1.0,train,../data/images/ClinTox/0.png
1.0,O=C([O-])CCCc1ccccc1,1.0,train,../data/images/ClinTox/1.png
2.0,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,0.0,train,../data/images/ClinTox/2.png
3.0,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CC[NH+](C)CC1,1.0,train,../data/images/ClinTox/3.png
4.0,C[NH+](C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,1.0,train,../data/images/ClinTox/4.png
5.0,C/C1=C2/N=C(/C=C3\N/C(=C(/C)C4=N[C@@](C)(C5N=C1[C@](C)(CCC(=O)NC[C@H](C)OP(=O)([O-])O[C@H]1[C@@H](O)[C@@H](n6cnc7cc(C)c(C)cc76)O[C@@H]1CO)[C@H]5CC(N)=O)[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O,1.0,train,../data/images/ClinTox/5.png
6.0,O=C([O-])COCC[NH+]1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1,1.0,train,../data/images/ClinTox/6.png
7.0,Cc1cccc(C)c1OCC(C)[NH3+],1.0,train,../data/images/ClinTox/7.png
8.0,C=C(CC)C(=O)c1ccc(OCC(=O)[O-])c(Cl)c1Cl,1.0,train,../data/images/ClinTox/8.png
9.0,CC(/N=C(\NC#N)Nc1cc[nH+]cc1)C(C)(C)C,1.0,train,../data/images/ClinTox/9.png
10.0,Cc1cccc(C)c1NC(=O)C1CCCC[NH+]1C,1.0,train,../data/images/ClinTox/10.png
11.0,Nc1cc(Cl)c(NC2=[NH+]CCN2)c(Cl)c1,1.0,train,../data/images/ClinTox/11.png
12.0,CCOC(=O)C1(c2ccccc2)CC[NH+](CCC(C#N)(c2ccccc2)c2ccccc2)CC1,1.0,train,../data/images/ClinTox/12.png
13.0,O=P([O-])([O-])C(O)(Cn1ccnc1)P(=O)([O-])[O-],1.0,train,../data/images/ClinTox/13.png
14.0,C=CC[NH+]1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,1.0,train,../data/images/ClinTox/14.png
15.0,CCC(=O)N(c1ccccc1)C1CC[NH+](CCc2ccccc2)CC1,1.0,train,../data/images/ClinTox/15.png
16.0,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1,1.0,train,../data/images/ClinTox/16.png
17.0,CC(C[N+](C)(C)C)OC(N)=O,1.0,train,../data/images/ClinTox/17.png
18.0,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)[O-],1.0,train,../data/images/ClinTox/18.png
19.0,CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,1.0,train,../data/images/ClinTox/19.png
20.0,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]([NH3+])CSSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O,1.0,train,../data/images/ClinTox/20.png
21.0,CN(N=O)C(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O,1.0,train,../data/images/ClinTox/21.png
22.0,CC(=O)Nc1nnc(S(N)(=O)=O)s1,1.0,train,../data/images/ClinTox/22.png
23.0,C[NH2+]CCCN1c2ccccc2CCc2ccccc21,1.0,train,../data/images/ClinTox/23.png
24.0,Cc1c(F)c(N2CC[NH2+]C(C)C2)cc2c1c(=O)c(C(=O)[O-])cn2C1CC1,1.0,train,../data/images/ClinTox/24.png
25.0,Cn1c(=O)c2[nH]cnc2n(C)c1=O,1.0,train,../data/images/ClinTox/25.png
26.0,CC1COc2c(N3CC[NH+](C)CC3)c(F)cc3c(=O)c(C(=O)[O-])cn1c23,1.0,train,../data/images/ClinTox/26.png
27.0,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(S[C@@H]3C[NH2+][C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,1.0,train,../data/images/ClinTox/27.png
28.0,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,1.0,train,../data/images/ClinTox/28.png
29.0,O=C1O[Pt]OC(=O)C12CCC2,1.0,train,../data/images/ClinTox/29.png
30.0,CC[NH+](CC)CC(=O)Nc1c(C)cccc1C,1.0,train,../data/images/ClinTox/30.png
31.0,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)[O-],1.0,train,../data/images/ClinTox/31.png
32.0,[NH3+]CCCCCC(=O)[O-],1.0,train,../data/images/ClinTox/32.png
33.0,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12,1.0,train,../data/images/ClinTox/33.png
34.0,COc1ccc([C@@H]2Sc3ccccc3N(CC[NH+](C)C)C(=O)[C@@H]2OC(C)=O)cc1,1.0,train,../data/images/ClinTox/34.png
