idx,smiles,P-gp,group,img_path
0.0,CC(=O)OC1CC(C)(C)C(=C=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C(=O)CC23OC2(C)CC(O)CC3(C)C)C(C)(O)C1,1.0,train,../data/images/P-gp/0.png
1.0,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,1.0,train,../data/images/P-gp/1.png
2.0,C[N+]12C=CC=C1C(N1CCCC1)c1scc(-c3ccc(Br)cc3)c12,1.0,train,../data/images/P-gp/2.png
3.0,CC1(C)NC[C@@H](c2cc(F)cc(F)c2)N(CC(=O)Nc2ccc3c(c2)C[C@@]2(C3)C(=O)Nc3ncccc32)C1=O,1.0,train,../data/images/P-gp/3.png
4.0,CC(=O)c1c(-c2ccco2)c(C#N)c(=S)n([C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c1C,0.0,train,../data/images/P-gp/4.png
5.0,C/C=C/C(=O)O[C@H]1C(=O)[C@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]34OC(=O)O[C@H]3[C@H](OC(=O)[C@H](O)[C@H](C=C(C)C)NC(=O)OC(C)(C)C)C(C)=C1C4(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,1.0,train,../data/images/P-gp/5.png
6.0,CC(C)(O)C1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,0.0,train,../data/images/P-gp/6.png
7.0,CC[C@@H](C)[C@@H]1OC(=O)[C@H](C(C)(C)O)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]([C@H](C)CC)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C(C)C)N(C)C1=O,1.0,train,../data/images/P-gp/7.png
8.0,CC(C)(C)OC(=O)CN1CCN(CC(=O)N2CCN(C(=O)OCc3ccccc3)CC2)CCN(CC(=O)OC(C)(C)C)CCN(CC(=O)N2CCN(C(=O)OCc3ccccc3)CC2)CC1,1.0,train,../data/images/P-gp/8.png
9.0,CC(C)(C)NC[C@@H](O)COc1ccc(NC(=O)NC2CCCCC2)cc1,1.0,train,../data/images/P-gp/9.png
10.0,CNCCCN1c2ccccc2CCc2ccccc21,0.0,train,../data/images/P-gp/10.png
11.0,CN(CCO)CC(=O)CC(O)(C(F)(F)F)C(F)(F)F,0.0,train,../data/images/P-gp/11.png
12.0,CCNc1cc2[o+]c3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)OCC)c2cc1C,1.0,train,../data/images/P-gp/12.png
13.0,COc1cc(OC)cc(-c2cc(=O)c3cc4c(cc3[nH]2)OCO4)c1,0.0,train,../data/images/P-gp/13.png
14.0,C=C1[C@@H](OC(=O)C(C)CC)[C@@H](OC(C)=O)C(=O)C(C)(C)/C=C/[C@H](C)[C@H](OC(=O)c2ccccc2)[C@@]2(O)C[C@H](C)[C@H](OC(C)=O)[C@@H]2[C@H]1OC(C)=O,1.0,train,../data/images/P-gp/14.png
15.0,Cc1cccc(CP(Cc2cccc(C)c2)CC2(Cp3c4ccccc4c4ccccc43)COC2)c1,1.0,train,../data/images/P-gp/15.png
16.0,Cc1ccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,1.0,train,../data/images/P-gp/16.png
17.0,COc1ccc(COc2ccccc2CCc2cccc(OC)c2)cc1,1.0,train,../data/images/P-gp/17.png
18.0,COc1ccc(-c2c3ccc(=[N+](C)C)cc-3sc3cc(N(C)C)ccc23)cc1OC,1.0,train,../data/images/P-gp/18.png
19.0,O=c1c2c3c(sc2nc(S)n1-c1ccccc1)CCCc1ccc([N+](=O)[O-])cc1-3,0.0,train,../data/images/P-gp/19.png
20.0,C=C1[C@H](OCC(C)C)CC(=O)C(C)(C)/C=C/[C@@H](C)C(=O)[C@@]2(OC(C)=O)C[C@H](C)[C@H](OC(C)=O)[C@@H]2[C@H]1OC(C)=O,1.0,train,../data/images/P-gp/20.png
21.0,CC1CNC(c2cccc(-c3nc(-c4cccc(C5=NC(C)CN5)c4)nc(N(C)C)n3)c2)=N1,1.0,train,../data/images/P-gp/21.png
22.0,O=C1/C(=C/c2ccccc2)CN(C(=O)CC(=O)N2C/C(=C\c3ccccc3)C(=O)/C(=C/c3ccccc3)C2)C/C1=C\c1ccccc1,1.0,train,../data/images/P-gp/22.png
23.0,C=C1[C@H](OCC(C)C)C[C@@H](OC(=O)c2cccnc2)C(C)(C)/C=C/[C@@H](C)C(=O)[C@@]2(OC(C)=O)C[C@@](C)(OC(C)=O)[C@H](OC(C)=O)[C@@H]2[C@H]1OC(C)=O,1.0,train,../data/images/P-gp/23.png
24.0,Clc1cc2nc([C@@H]3CCCN3c3cc(N4CCN(Cc5ccccc5)CC4)ncn3)[nH]c2cc1Cl,0.0,train,../data/images/P-gp/24.png
25.0,COc1cccc(-c2c3ccc(N(C)C)cc3[s+]c3cc(N(C)C)ccc23)c1,1.0,train,../data/images/P-gp/25.png
26.0,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4C)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,1.0,train,../data/images/P-gp/26.png
27.0,CC(C)(O)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C,0.0,train,../data/images/P-gp/27.png
28.0,CN(C)CCCN1c2ccccc2CCc2cccc([N+](=O)[O-])c21,0.0,train,../data/images/P-gp/28.png
29.0,[N-]=[N+]=Nc1ccc(CCN2CN(c3ccccc3)C3(CCN(CCCC(=O)c4ccc(F)cc4)CC3)C2=O)cc1I,1.0,train,../data/images/P-gp/29.png
30.0,COC(=O)c1c(F)cccc1-c1ccc(CNC(=O)C2(NC(=O)C(F)(F)C(F)(F)F)CC2)c(F)c1,1.0,train,../data/images/P-gp/30.png
31.0,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,0.0,train,../data/images/P-gp/31.png
32.0,COc1nc(C(Cl)(Cl)Cl)c(Cl)c(OC)c1Cl,0.0,train,../data/images/P-gp/32.png
33.0,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,1.0,train,../data/images/P-gp/33.png
34.0,CONC1=C2C(=O)N(C)CC(=O)N(C)C(C)C(=O)OC(CO)C(NC(=O)c3c4nc5c(C(=O)NC6C(=O)NC(C(C)C)C(=O)N7C(C)CC(O)C7C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC6C)ccc(C)c5oc-4c(C)c(=O)c3N)C(=O)NC(C(C)C)C(=O)N2C(C)C1,1.0,train,../data/images/P-gp/34.png
35.0,COc1cc2c(cc1OC)C(OC)N(C)c1c-2ccc2cc3c(cc12)OCO3,1.0,train,../data/images/P-gp/35.png
36.0,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](O)[C@H](N)[C@H](C)O1,1.0,train,../data/images/P-gp/36.png
37.0,CC(=O)OC1C(=O)C(O)C(C)OC1OC1CC2(C)C3CC=C4C(CC(=O)C(O)C4(C)C)C3(C)C(=O)CC2(C)C1C(C)(O)C(=O)C=CC(C)(C)O,0.0,train,../data/images/P-gp/37.png
38.0,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)CC(C)C)c4ccccc4)C(C)=C1C3(C)C)[C@@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,1.0,train,../data/images/P-gp/38.png
39.0,CCCCCCCCCC[n+]1ccn(C)c1,1.0,train,../data/images/P-gp/39.png
40.0,COC(=O)[C@@H]1C(=O)C=C(Nc2cccc(OC(F)(F)F)c2)C[C@H]1C,0.0,train,../data/images/P-gp/40.png
41.0,COc1ccc(-c2ccn(Cc3ccccc3)c(=O)c2C#N)cc1,0.0,train,../data/images/P-gp/41.png
42.0,O=C(NCCN1CCN(c2cccc3c2OC[C@H](CO)O3)CC1)c1ccc(F)cc1,1.0,train,../data/images/P-gp/42.png
43.0,O=C1/C(=C/c2ccccc2)CN(C(=O)CCSCCO)C/C1=C\c1ccccc1,1.0,train,../data/images/P-gp/43.png
44.0,N=C(N)N1CCc2ccccc2C1,1.0,train,../data/images/P-gp/44.png
45.0,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,1.0,train,../data/images/P-gp/45.png
46.0,CN(C)C(=O)N1CC(c2cc(F)ccc2F)=C[C@@]1(CCCNCC(F)(F)F)c1ccccc1,0.0,train,../data/images/P-gp/46.png
47.0,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,1.0,train,../data/images/P-gp/47.png
48.0,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,0.0,train,../data/images/P-gp/48.png
