idx,smiles,Caco2,group,img_path
0.0,N#Cc1c(-c2csc(-c3no[n+]([O-])c3C#N)c2)no[n+]1[O-],1.0,train,../data/images/balanced_scaffold_seed99_Caco2/0.png
1.0,O=C(c1ccc(O)cc1OC[C@@H](O)CN1CCC2(CC1)Cc1cc(Cl)ccc1O2)N1CCCCC1,1.0,train,../data/images/balanced_scaffold_seed99_Caco2/1.png
2.0,O=C(c1ccc(O)cc1OC[C@@H](O)CN1CCC2(CC1)Cc1cc(Cl)ccc1O2)N1CCC(O)CC1,0.0,train,../data/images/balanced_scaffold_seed99_Caco2/2.png
3.0,Cc1nc2cc(-c3nc(=O)n(CCC4CCCO4)c4c3oc3ncc(-c5cnn(C)c5)cc34)ccc2n1C,1.0,train,../data/images/balanced_scaffold_seed99_Caco2/3.png
4.0,COc1c(C)cnc(CN2C(=O)CC3(C2=O)C(=O)N(CC(=O)O)c2ccc(Cl)cc23)c1C,0.0,train,../data/images/balanced_scaffold_seed99_Caco2/4.png
5.0,CS(=O)(=O)N(CC1CCCCO1)c1c(Cl)c(Cl)cc2[nH]c(=O)c(=O)[nH]c12,0.0,train,../data/images/balanced_scaffold_seed99_Caco2/5.png
6.0,c1ccc([C@H]([C@@H](c2ccccc2)N2CCCCC2)N2CCCCC2)cc1,1.0,train,../data/images/balanced_scaffold_seed99_Caco2/6.png
7.0,c1ccc([C@@H]([C@H](c2ccccc2)N2CCCCC2)N2CCCCC2)cc1,1.0,train,../data/images/balanced_scaffold_seed99_Caco2/7.png
8.0,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2c(-c3cccnc3)c[nH]c2c1=O,1.0,train,../data/images/balanced_scaffold_seed99_Caco2/8.png
9.0,CC(=O)N1CCN(c2nc(NCc3cnc4ccccc4c3)c3c(n2)C(=O)N(C(C)C)C3)CC1,0.0,train,../data/images/balanced_scaffold_seed99_Caco2/9.png
10.0,COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCC[C@H](NC(=O)c5ccc(C)s5)C(=O)N4C3)cc(OC(C)C)nc2c1C,0.0,train,../data/images/balanced_scaffold_seed99_Caco2/10.png
11.0,CNC(=O)c1cc(Oc2ccc3nc(Nc4ccccc4Oc4ccccc4)ncc3c2)ccn1,0.0,train,../data/images/balanced_scaffold_seed99_Caco2/11.png
12.0,COC(=O)c1cnc(Nc2cnc(C#N)cn2)cc1NCC1CCNCC1,0.0,train,../data/images/balanced_scaffold_seed99_Caco2/12.png
13.0,COc1ccc2cc3[n+](cc2c1O)CCc1cc2c(cc1-3)OCO2,1.0,train,../data/images/balanced_scaffold_seed99_Caco2/13.png
14.0,c1coc(-c2nc3[nH]cnc3cc2-c2ccncn2)c1,1.0,train,../data/images/balanced_scaffold_seed99_Caco2/14.png
15.0,COC(=O)O[C@H]1C[C@H]2OC[C@@]2(OC(C)=O)[C@H]2[C@H](OC(=O)c3ccccc3)[C@]34OC(=O)O[C@H]3[C@H](OC(=O)[C@H](O)[C@H](CC(C)C)NC(=O)OC(C)(C)C)C(C)=C([C@@H](OC)C(=O)[C@]12C)C4(C)C,0.0,train,../data/images/balanced_scaffold_seed99_Caco2/15.png
16.0,CO[C@H]1C(=O)[C@]2(C)[C@@H](OC(=O)N(C)C)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]23OC(=O)O[C@H]2[C@H](OC(=O)[C@H](O)[C@H](CC(C)C)NC(=O)OC(C)(C)C)C(C)=C1C3(C)C,0.0,train,../data/images/balanced_scaffold_seed99_Caco2/16.png
17.0,CO[C@H]1C(=O)[C@]2(C)[C@@H](OC)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]23OC(=O)O[C@H]2[C@H](OC(=O)[C@H](O)[C@H](CC(C)C)NC(=O)OC(C)(C)C)C(C)=C1C3(C)C,0.0,train,../data/images/balanced_scaffold_seed99_Caco2/17.png
18.0,CO[C@H]1C[C@H]2OC[C@@]2(OC(C)=O)[C@H]2[C@H](OC(=O)c3ccccc3)[C@]34OC(=O)O[C@H]3[C@H](OC(=O)[C@H](O)[C@H](CC(C)C)NC(=O)OC(C)(C)C)C(C)=C([C@@H](OC(=O)N(C)C)C(=O)[C@]12C)C4(C)C,0.0,train,../data/images/balanced_scaffold_seed99_Caco2/18.png
