idx,smiles,bbb,group,img_path
0.0,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,1.0,train,../data/images/balanced_scaffold_seed99_bbb/0.png
1.0,CCNC1=Nc2ccc(Cl)cc2C(c2ccccc2)S1,1.0,train,../data/images/balanced_scaffold_seed99_bbb/1.png
2.0,N=C1SCCN1c1ccc(Cl)cc1N,1.0,train,../data/images/balanced_scaffold_seed99_bbb/2.png
3.0,OCCN1CCN(C2CC(c3ccc(F)cc3)c3ccc(C(F)(F)F)cc32)CC1,1.0,train,../data/images/balanced_scaffold_seed99_bbb/3.png
4.0,CC(CNC(=O)c1ccccc1)C(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,1.0,train,../data/images/balanced_scaffold_seed99_bbb/4.png
5.0,COc1ccc(N2CC(CN3CCC(O)(c4ccc5c(c4)OCO5)CC3)OC2=O)cc1,1.0,train,../data/images/balanced_scaffold_seed99_bbb/5.png
6.0,CC1(C)SC2C(NC(=O)C(NC(=O)c3cnc4cccnc4c3O)c3ccccc3)C(=O)N2C1C(=O)O,0.0,train,../data/images/balanced_scaffold_seed99_bbb/6.png
7.0,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)Cn4cc(Cl)c(=O)c(Cl)c4)C3SC2)s1,0.0,train,../data/images/balanced_scaffold_seed99_bbb/7.png
8.0,CN(C)CCN1CCN(c2cccc(Cl)c2)C1=O,1.0,train,../data/images/balanced_scaffold_seed99_bbb/8.png
9.0,CCC1(c2ccccc2)NCC(=O)NC1=O,1.0,train,../data/images/balanced_scaffold_seed99_bbb/9.png
10.0,Cc1ccc(C(=CCN2CCCC2)c2cccc(C=CC(=O)O)n2)cc1,0.0,train,../data/images/balanced_scaffold_seed99_bbb/10.png
11.0,Cc1oc(=O)oc1COC(=O)C1N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1(C)C,0.0,train,../data/images/balanced_scaffold_seed99_bbb/11.png
12.0,CC1(C)SC2C(NC(=O)C(C(=O)Oc3ccccc3)c3ccccc3)C(=O)N2C1C(=O)O,0.0,train,../data/images/balanced_scaffold_seed99_bbb/12.png
13.0,CC1C2Cc3ccc(O)cc3C1(C)CCN2CCc1ccccc1,1.0,train,../data/images/balanced_scaffold_seed99_bbb/13.png
14.0,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,0.0,train,../data/images/balanced_scaffold_seed99_bbb/14.png
15.0,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,0.0,train,../data/images/balanced_scaffold_seed99_bbb/15.png
16.0,CCCN1CC=C(c2c[nH]c3ccc(Cl)cc23)CC1,1.0,train,../data/images/balanced_scaffold_seed99_bbb/16.png
17.0,CC1OC2(CCCCC2Oc2cccc(Cl)c2)NC1=O,1.0,train,../data/images/balanced_scaffold_seed99_bbb/17.png
18.0,CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCc2ccccc2)CC1C,1.0,train,../data/images/balanced_scaffold_seed99_bbb/18.png
19.0,CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCc2ccccc2)CC1,1.0,train,../data/images/balanced_scaffold_seed99_bbb/19.png
20.0,COCC(=O)N(c1ccccc1F)C1CCN(CCc2ccccc2)CC1,1.0,train,../data/images/balanced_scaffold_seed99_bbb/20.png
21.0,CC(C)(C)CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,1.0,train,../data/images/balanced_scaffold_seed99_bbb/21.png
22.0,O=c1nc[nH]c2nc[nH]c12,0.0,train,../data/images/balanced_scaffold_seed99_bbb/22.png
23.0,Nc1c2c(nc3ccccc13)CCCC2O,1.0,train,../data/images/balanced_scaffold_seed99_bbb/23.png
24.0,Nc1c2c(nc3ccccc13)CCCC2,1.0,train,../data/images/balanced_scaffold_seed99_bbb/24.png
25.0,OC(Cn1ccnc1)c1ccc(CCc2ccccc2)cc1,1.0,train,../data/images/balanced_scaffold_seed99_bbb/25.png
26.0,Nc1ccc(N=Nc2ccccc2)c(N)n1,0.0,train,../data/images/balanced_scaffold_seed99_bbb/26.png
27.0,OCCC1CCN(CCC=C2c3ccc(F)cc3Sc3ccc(C(F)(F)F)cc32)CC1,1.0,train,../data/images/balanced_scaffold_seed99_bbb/27.png
28.0,NS(=O)(=O)c1ccc(N2C(=O)CC(c3ccccc3)C2=O)c(Cl)c1,1.0,train,../data/images/balanced_scaffold_seed99_bbb/28.png
29.0,CN1CCCc2cccc(OCC3CNCCO3)c21,1.0,train,../data/images/balanced_scaffold_seed99_bbb/29.png
30.0,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,0.0,train,../data/images/balanced_scaffold_seed99_bbb/30.png
31.0,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,0.0,train,../data/images/balanced_scaffold_seed99_bbb/31.png
32.0,c1ccc2nc(N3CCNCC3)ccc2c1,1.0,train,../data/images/balanced_scaffold_seed99_bbb/32.png
