idx,smiles,hERG,group,img_path
0.0,CC(=O)N1CCOc2cc3c(cc21)CCN(CCCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3,1.0,train,../data/images/hERG/0.png
1.0,COc1ccc(-c2nnc(C(=O)N3CCC(Oc4ccc(CN5CCCC5)nc4)CC3)o2)cc1,0.0,train,../data/images/hERG/1.png
2.0,O=C1CCc2ccc(F)cc2N1CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1,1.0,train,../data/images/hERG/2.png
3.0,CN1CCC[C@H]1c1cccnc1,0.0,train,../data/images/hERG/3.png
4.0,CC(=O)NC1CCN(C(=O)NC2CCN(Cc3ccn(-c4ccc(C(F)(F)F)cc4)c3)CC2)C1,0.0,train,../data/images/hERG/4.png
5.0,CCN1C[C@@H]2[C@H](C1)[C@H]2CN(Cc1cccc(OC(F)(F)F)c1)C(=O)c1cn(C)cn1,1.0,train,../data/images/hERG/5.png
6.0,CN(C)CCC1=C(Cc2cccnn2)c2ccc(Cl)cc2C1,1.0,train,../data/images/hERG/6.png
7.0,O=C1OCCN1C1CCN(CCc2ccc(Oc3nc4ccccc4s3)cc2)CC1,1.0,train,../data/images/hERG/7.png
8.0,COc1ccc2ncc(=O)n(CCN3CC[C@@H](NCc4ccc5c(n4)NC(=O)CO5)[C@@H](F)C3)c2c1,0.0,train,../data/images/hERG/8.png
9.0,O=C(CNc1ncnc2ccc(C(F)(F)F)cc12)NC1CN([C@H]2CC[C@@H](c3ccccc3)CC2)C1,1.0,train,../data/images/hERG/9.png
10.0,O=c1ccc2ncc(F)c3c2n1C[C@@]3(O)CC12CCC(NCc3ncc4c(c3Cl)OCCO4)(CC1)CO2,0.0,train,../data/images/hERG/10.png
11.0,Cc1nc(Nc2cc(N[C@@H]3CCCC[C@@H]3N)cnc2C(N)=O)cc(OCC(C)(C)O)n1,0.0,train,../data/images/hERG/11.png
12.0,COc1cc(C(=O)NCCN2CCCC2)ccc1Oc1ccc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(C(F)(F)F)c1,0.0,train,../data/images/hERG/12.png
13.0,O=C(NC(c1ccccc1)c1ccccc1)NS(=O)(=O)c1ccc(OCCCN2CCCCC2)cc1,0.0,train,../data/images/hERG/13.png
