idx,smiles,hiv,group,img_path
0.0,CCCCOC1CC2(c3ccc(OC)cc3)C(=O)c3ccccc3N2O1,0.0,train,../data/images/hiv/0.png
1.0,COc1ccc(CCNC(=O)Cc2cc(OC)c(OC)cc2Br)cc1OC,0.0,train,../data/images/hiv/1.png
2.0,CN(C)CCNc1ccc2c(=O)n(CCN(C)C)c(=O)n3c4ccc(N)cc4c(=O)c1c23,0.0,train,../data/images/hiv/2.png
3.0,COc1ccc2c(c1)C1c3cc(OC)c(OC)cc3CCN1CCC2,0.0,train,../data/images/hiv/3.png
4.0,CCCCCCCCCCCCCCCCOC(=O)C(C(=O)OCCCCCCCCCCCCCCCC)[N+](C)(C)CCOC(C)=O,0.0,train,../data/images/hiv/4.png
5.0,[N-]=[N+]=N[IH2]1OC(C(F)(F)F)(C(F)(F)F)c2ccccc21,0.0,train,../data/images/hiv/5.png
6.0,CCOc1csc(C2CCC3C4CC=C5CC(OC(=O)CCC(=O)O)CCC5(C)C4CCC23C)n1,0.0,train,../data/images/hiv/6.png
7.0,Cc1nc(C)c(C(=O)NNC(=O)Cc2ccccc2)cc1C(=O)NNC(=O)Cc1ccccc1,0.0,train,../data/images/hiv/7.png
8.0,OCCCN(Cc1ccccc1)CC(O)c1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,0.0,train,../data/images/hiv/8.png
9.0,CCC1C(=O)OCc2c1cc1n(c2=O)CCC12OCCO2,0.0,train,../data/images/hiv/9.png
10.0,CCN(CC)C(=S)NN=Cc1cc([N+](=O)[O-])ccc1O,0.0,train,../data/images/hiv/10.png
11.0,CCCc1cc(=O)oc2c3c(cc(OS(=O)(=O)c4ccc(C)cc4)c12)OC(C)C(C)C3=O,0.0,train,../data/images/hiv/11.png
12.0,CC1(C)OC(=O)C=CC2(C)C1CC(=O)C1(C)C2CCC2(C)C(c3ccoc3)OC(=O)C3OC321,0.0,train,../data/images/hiv/12.png
13.0,O=C(O)c1nc2ccc(Cl)cc2nc1O,0.0,train,../data/images/hiv/13.png
14.0,COc1ccccc1NC(=O)C1=C(C)NC(C)=C(C(=O)Nc2ccccc2OC)C1c1ccc(N(C)C)cc1,0.0,train,../data/images/hiv/14.png
15.0,c1ccc2nsnc2c1,0.0,train,../data/images/hiv/15.png
16.0,CCOC(=O)C(=Cc1cccc(OC)c1)C(C)=O,0.0,train,../data/images/hiv/16.png
17.0,O=[N+]([O-])c1ccc(S(=O)(=O)n2c3ccc(Br)cc3c3nc4ccccc4nc32)cc1,0.0,train,../data/images/hiv/17.png
18.0,CN(C)CC1CCc2ccccc2C1=O,0.0,train,../data/images/hiv/18.png
19.0,O=C(NCCCCNCCCNC(=O)c1ccc([N+](=O)[O-])cc1)c1ccc([N+](=O)[O-])cc1,0.0,train,../data/images/hiv/19.png
20.0,C[Si]1(C)C(c2ccccc2)=CC2C(c3ccccc3)(c3ccccc3)OC21c1ccccc1,0.0,train,../data/images/hiv/20.png
21.0,CC(C)[N+]12CC[N+]3(C(C)C)CC[N+](C(C)C)(CC1)[Mo-3]23(=O)(=O)=O,0.0,train,../data/images/hiv/21.png
22.0,CCc1cccc(CC)c1NC(=S)NC(=O)c1ccc(Br)cc1,0.0,train,../data/images/hiv/22.png
23.0,O=C(NCCc1c[nH]c2ccccc12)C1CCCCC1,0.0,train,../data/images/hiv/23.png
24.0,CC(C)CC(NC(=O)C(Cc1ccc(O)cc1)NC(=O)CNC(=O)C(N)CCC(=O)O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,0.0,train,../data/images/hiv/24.png
25.0,COC(=O)C1=C(O)C(O)=C(C(=O)OC)CC1,1.0,train,../data/images/hiv/25.png
26.0,Cc1coc2c1C1OC(=O)C3(CC=CC(C)C2)OC13,0.0,train,../data/images/hiv/26.png
27.0,CN(OC(=O)CC(=O)c1ccccc1)C(=O)Cc1ccccc1,0.0,train,../data/images/hiv/27.png
28.0,Nc1ncnc2c1ncn2C1OC(C(O)CO)C(O)C1O,0.0,train,../data/images/hiv/28.png
29.0,CCOC(=O)C(=Cc1ccc(C(=O)OC)cc1)C(=O)OCC,0.0,train,../data/images/hiv/29.png
30.0,N#CC(NNC(=O)Cc1ccccc1)c1cccc(O)c1,0.0,train,../data/images/hiv/30.png
31.0,CC(C)NCCCNc1c2ccccc2nc2cccc([N+](=O)[O-])c12,0.0,train,../data/images/hiv/31.png
