y_test,y_preds,y_pro
0.0,0.0,0.44108364
1.0,1.0,0.9979646
1.0,1.0,0.9968953
1.0,1.0,0.9993168
1.0,1.0,0.9995333
1.0,1.0,0.99883443
1.0,1.0,0.9128604
1.0,1.0,0.99971515
1.0,1.0,0.9951474
1.0,1.0,0.99307406
0.0,1.0,0.9718531
1.0,0.0,0.35161042
1.0,1.0,0.99999976
0.0,0.0,0.027849633
1.0,1.0,0.9999989
0.0,0.0,0.0026411554
1.0,1.0,0.9961287
1.0,1.0,0.9999982
1.0,1.0,0.9877461
0.0,0.0,0.007834663
0.0,0.0,0.065361865
0.0,1.0,0.7518482
1.0,1.0,0.99650383
1.0,1.0,0.99973434
1.0,0.0,0.08203608
0.0,0.0,0.49943474
1.0,1.0,0.99987876
1.0,1.0,0.99122894
1.0,1.0,0.9999999
1.0,1.0,0.9188579
1.0,1.0,0.9070965
1.0,1.0,0.813628
1.0,1.0,0.99867094
1.0,1.0,0.9999882
1.0,1.0,0.86864847
1.0,0.0,0.335263
0.0,0.0,0.35623473
1.0,1.0,0.9999275
0.0,0.0,0.30960903
1.0,1.0,0.9999999
1.0,1.0,0.76883894
1.0,1.0,0.9925925
1.0,1.0,0.999874
1.0,1.0,0.9999988
1.0,1.0,0.9946509
1.0,0.0,0.0013484866
1.0,0.0,0.13721131
0.0,0.0,0.42453775
1.0,1.0,0.99999464
1.0,1.0,0.99999976
1.0,1.0,0.98719084
1.0,1.0,0.9007025
1.0,1.0,0.92800003
1.0,1.0,0.9998522
1.0,1.0,0.9581994
1.0,1.0,0.99976045
0.0,0.0,0.09147175
0.0,1.0,0.8397782
1.0,1.0,0.9808735
1.0,1.0,0.9999187
0.0,0.0,0.014121723
0.0,0.0,0.022294702
0.0,0.0,0.005178897
1.0,1.0,0.85344446
1.0,1.0,0.99883145
1.0,1.0,0.9988619
1.0,1.0,0.99963784
1.0,1.0,0.9999999
0.0,0.0,0.03601328
1.0,1.0,0.65910494
1.0,1.0,0.9999651
1.0,1.0,0.99996436
1.0,1.0,0.98819643
1.0,1.0,0.9999411
1.0,1.0,0.998982
1.0,1.0,0.9999074
1.0,0.0,0.15585233
1.0,1.0,0.9999995
1.0,1.0,0.99999464
1.0,1.0,0.711651
0.0,0.0,0.037115313
0.0,1.0,0.9947519
0.0,0.0,0.0044021667
1.0,1.0,0.70775056
1.0,1.0,0.99149656
1.0,1.0,0.8550786
1.0,1.0,0.9951434
0.0,0.0,0.002325219
1.0,1.0,0.6570247
1.0,1.0,0.9977428
1.0,1.0,0.99967
1.0,1.0,0.9008112
1.0,0.0,0.44941473
0.0,0.0,0.0008643409
1.0,1.0,0.9998734
1.0,1.0,0.9990984
0.0,0.0,0.02683167
1.0,1.0,0.8994446
1.0,1.0,0.9999982
1.0,0.0,0.24384017
1.0,1.0,0.9998697
1.0,1.0,0.9999256
1.0,1.0,0.9915549
1.0,1.0,0.97328395
1.0,1.0,0.9953951
1.0,1.0,0.99677426
1.0,1.0,0.99014777
1.0,1.0,0.9992236
1.0,1.0,0.99945515
1.0,1.0,0.81619203
1.0,1.0,0.9967963
1.0,1.0,0.7247834
1.0,1.0,0.9997514
1.0,1.0,0.9995484
1.0,1.0,0.9849978
1.0,1.0,0.99993813
1.0,1.0,0.99386865
0.0,0.0,0.043846536
0.0,0.0,0.0022790625
1.0,1.0,0.96947026
1.0,1.0,0.9999572
1.0,0.0,0.17699465
1.0,1.0,0.9235744
0.0,1.0,0.88035864
1.0,1.0,0.9995857
0.0,1.0,0.7172433
1.0,1.0,0.99957496
0.0,1.0,0.9147951
0.0,0.0,0.021123264
1.0,1.0,0.9999652
1.0,1.0,0.9924036
1.0,1.0,0.99999774
1.0,1.0,0.99997544
1.0,1.0,0.9999949
1.0,1.0,0.871562
1.0,1.0,0.92536557
1.0,1.0,0.9655797
0.0,1.0,0.9070061
0.0,1.0,0.98179287
1.0,1.0,0.9927993
1.0,1.0,0.99952364
0.0,1.0,0.96683604
0.0,0.0,0.01609498
1.0,1.0,0.9523069
1.0,1.0,0.99509203
0.0,1.0,0.9979533
1.0,1.0,0.99961984
1.0,1.0,0.998747
1.0,1.0,0.99917346
1.0,1.0,0.93442166
1.0,1.0,0.9998636
1.0,0.0,0.11474818
0.0,0.0,0.008890402
1.0,0.0,0.26137823
1.0,1.0,0.99989414
1.0,1.0,0.9973882
1.0,1.0,0.9999865
1.0,1.0,0.8168468
1.0,1.0,0.99902034
1.0,1.0,0.9983779
0.0,0.0,0.07651267
1.0,1.0,0.99994946
1.0,1.0,0.9999876
1.0,1.0,0.9764766
1.0,1.0,0.999998
1.0,1.0,0.99629825
1.0,1.0,0.9999994
0.0,1.0,0.88001245
1.0,1.0,0.9917516
1.0,1.0,0.99998915
1.0,1.0,0.9951415
1.0,1.0,0.99735427
1.0,0.0,0.24794643
1.0,1.0,0.99394166
0.0,0.0,0.0028964158
0.0,0.0,0.47463682
1.0,1.0,0.99997187
1.0,1.0,0.9969568
1.0,1.0,0.9999801
1.0,1.0,0.99848074
1.0,1.0,0.9999887
0.0,1.0,0.9361403
1.0,1.0,0.99999213
0.0,1.0,0.9999999
1.0,1.0,0.5470297
0.0,0.0,0.0060640112
1.0,1.0,0.9999151
1.0,1.0,0.99991167
1.0,1.0,0.6865995
1.0,1.0,0.9998148
1.0,1.0,0.82949233
1.0,1.0,0.64479536
1.0,1.0,0.9321148
1.0,1.0,0.9971523
1.0,1.0,0.7141322
0.0,0.0,2.066859e-05
1.0,1.0,0.91871434
1.0,1.0,0.9999063
0.0,0.0,0.0009578747
1.0,1.0,0.99994457
1.0,1.0,0.9946542
1.0,1.0,0.99998486
1.0,1.0,0.9685676
1.0,1.0,0.9999932
1.0,1.0,0.9997359
1.0,1.0,0.99419314
1.0,1.0,0.99752504
1.0,1.0,0.9999987
0.0,0.0,0.0019488179
0.0,1.0,0.92531127
1.0,1.0,0.9994373
1.0,1.0,0.99521685
0.0,0.0,3.7407797e-05
1.0,1.0,0.93307006
1.0,1.0,0.63981813
1.0,1.0,0.9999571
0.0,0.0,0.007797705
0.0,0.0,0.16602327
0.0,1.0,0.8232789
1.0,1.0,0.9900827
0.0,0.0,0.02656991
1.0,1.0,0.94517654
1.0,1.0,0.99997604
1.0,1.0,0.99943596
0.0,0.0,0.0010658253
0.0,1.0,0.7070831
1.0,1.0,0.9969331
1.0,1.0,0.99906486
1.0,1.0,0.9999168
0.0,0.0,0.0022947274
0.0,1.0,0.52173084
1.0,1.0,0.86521703
1.0,1.0,0.8549427
0.0,1.0,0.9108758
1.0,0.0,0.17118576
0.0,1.0,0.8091024
1.0,1.0,0.9990269
0.0,0.0,0.003282359
0.0,0.0,0.0047824206
1.0,1.0,0.9909463
0.0,0.0,0.017931009
0.0,0.0,1.9539148e-05
1.0,1.0,0.7823879
1.0,0.0,0.012096282
1.0,1.0,0.99999607
1.0,1.0,0.99949026
0.0,0.0,0.010945032
1.0,1.0,1.0
1.0,1.0,0.9956826
1.0,1.0,0.99743915
1.0,1.0,0.97195387
0.0,0.0,0.054236613
0.0,0.0,0.00017483848
1.0,1.0,0.83587414
1.0,1.0,0.99935466
1.0,1.0,0.9999956
1.0,1.0,0.9999765
1.0,0.0,0.37914714
1.0,1.0,0.99985886
1.0,1.0,0.9996742
0.0,0.0,0.038699698
1.0,1.0,0.99973756
1.0,1.0,0.9998005
1.0,1.0,0.99271727
0.0,1.0,0.9157258
1.0,1.0,0.9973572
1.0,1.0,0.99861705
1.0,1.0,0.9999895
0.0,1.0,0.9947907
1.0,1.0,0.9998332
1.0,1.0,0.99964
1.0,1.0,0.9994116
1.0,1.0,0.99255896
1.0,1.0,0.99998856
1.0,1.0,0.99998856
1.0,1.0,0.99873954
1.0,1.0,0.9996618
1.0,1.0,0.9999869
0.0,0.0,0.02277983
1.0,1.0,0.9991289
0.0,0.0,0.04354187
1.0,1.0,0.9520923
1.0,1.0,0.9879888
1.0,1.0,0.99992454
1.0,0.0,0.0042297775
0.0,0.0,0.24658881
1.0,1.0,0.99696225
1.0,1.0,0.9597372
1.0,1.0,0.9999939
1.0,1.0,0.999503
0.0,1.0,0.73719007
1.0,1.0,1.0
1.0,1.0,0.99999094
1.0,1.0,0.9246351
1.0,1.0,0.99999905
0.0,0.0,2.2420759e-06
1.0,0.0,0.10947912
1.0,1.0,0.9998623
0.0,0.0,0.299438
1.0,1.0,0.9981401
0.0,0.0,0.006414592
1.0,0.0,0.05637503
0.0,0.0,0.0006086845
1.0,1.0,0.98088855
1.0,1.0,0.9998847
1.0,1.0,0.99041206
1.0,1.0,0.9984194
1.0,1.0,0.88506246
0.0,0.0,0.037003722
1.0,1.0,0.9993451
1.0,1.0,0.9999517
1.0,1.0,0.9980475
0.0,0.0,0.021731135
1.0,1.0,0.8850412
1.0,1.0,0.9622266
1.0,1.0,0.9937577
1.0,1.0,0.9995659
1.0,1.0,0.983752
1.0,1.0,0.99998534
1.0,0.0,0.394098
1.0,0.0,0.44799218
1.0,1.0,0.97013444
0.0,0.0,0.012454098
1.0,1.0,0.99999845
1.0,1.0,0.9939622
1.0,1.0,0.9999428
1.0,1.0,1.0
1.0,1.0,0.9958127
1.0,1.0,0.9978782
1.0,1.0,0.95731735
1.0,1.0,0.9990507
1.0,1.0,0.98273855
1.0,1.0,0.9459819
1.0,1.0,0.99996674
1.0,1.0,0.99868745
0.0,0.0,0.061157476
1.0,1.0,0.9993819
0.0,1.0,0.98390466
1.0,1.0,0.9999932
1.0,1.0,0.99714965
0.0,0.0,0.021121884
1.0,1.0,0.992164
0.0,0.0,0.0039494545
1.0,1.0,0.99384683
1.0,1.0,0.9999902
1.0,1.0,0.82593465
0.0,0.0,0.004883014
0.0,0.0,0.18439887
1.0,1.0,0.9894615
1.0,1.0,0.94480234
1.0,1.0,0.99997795
0.0,0.0,0.034246445
1.0,0.0,0.31869105
1.0,1.0,0.97748864
1.0,1.0,0.9999367
1.0,1.0,0.93211067
1.0,1.0,0.99945146
1.0,0.0,0.29160511
1.0,1.0,0.7530049
1.0,1.0,0.99990726
1.0,1.0,0.99988353
1.0,1.0,0.9890031
1.0,1.0,0.96325296
0.0,0.0,0.0006596932
1.0,1.0,0.999311
1.0,1.0,0.999949
0.0,0.0,0.042841345
0.0,0.0,0.005025578
1.0,1.0,0.9923354
1.0,1.0,0.9884016
1.0,1.0,0.9698093
0.0,1.0,0.95101345
1.0,1.0,0.9999931
1.0,1.0,0.99998426
0.0,0.0,0.044644646
1.0,1.0,0.9999455
1.0,1.0,0.6547164
1.0,0.0,0.2595977
1.0,1.0,0.8630334
0.0,0.0,0.003400621
0.0,0.0,0.0014254792
1.0,1.0,0.9999833
1.0,1.0,0.9950866
1.0,1.0,0.9999937
1.0,1.0,0.9694108
1.0,1.0,0.99994254
0.0,0.0,0.0005769127
1.0,1.0,0.7021254
0.0,0.0,0.0012603807
1.0,1.0,0.9974256
1.0,1.0,0.99994206
