y_preds,y_test
0.533607,0
0.9998518,1
0.9826051,1
0.994517,1
0.99957746,1
0.8396893,1
0.9999759,1
0.9998672,1
0.99998784,1
0.99999726,1
0.99261206,0
0.029241823,1
1.0,1
9.02522e-09,0
0.9999901,1
0.018343432,0
0.9999999,1
0.9999975,1
0.9997347,1
4.466978e-05,0
0.120625,0
0.99789596,0
0.99973994,1
0.99586666,1
0.9686081,1
0.04659447,0
0.99842477,1
0.99999785,1
0.9946837,1
0.9991391,1
0.99880207,1
0.31580743,1
0.99999416,1
0.98249626,1
0.048115484,1
0.99942076,1
0.7637581,0
0.9844788,1
2.4053537e-07,0
0.9999999,1
0.99999785,1
0.9996221,1
0.9999956,1
0.99993646,1
0.9994247,1
0.87380296,1
0.99829286,1
0.3634404,0
1.0,1
1.0,1
0.9999796,1
0.8717036,1
0.11050316,1
0.9988525,1
0.9999876,1
0.99999976,1
0.99514514,0
0.14300257,0
0.9999393,1
1.0,1
6.093621e-09,0
0.71341956,0
0.0030641204,0
0.43385747,1
1.0,1
1.0,1
1.0,1
0.7012383,1
0.14804195,0
0.0002452488,1
0.9999449,1
0.99567646,1
0.9933429,1
0.99999523,1
0.9999368,1
0.9852646,1
0.00033203463,1
1.0,1
0.99442285,1
0.9999999,1
0.043829426,0
0.9994174,0
0.00031810324,0
0.54341584,1
0.9999999,1
0.9999901,1
0.99999905,1
0.0927941,0
0.93703705,1
0.9995572,1
0.99999976,1
0.9999254,1
0.9999387,1
0.0058098566,0
0.9999908,1
0.99999964,1
5.8516827e-05,0
0.9998659,1
0.97511864,1
0.9795777,1
1.0,1
0.9933555,1
0.9999727,1
0.19761454,1
0.9966085,1
0.9997751,1
0.99082464,1
0.99213964,1
1.0,1
0.99455875,1
1.0,1
9.403798e-06,1
0.99998057,1
0.9995763,1
0.9984869,1
0.61018646,1
1.0,1
5.8603546e-06,0
1.2594095e-10,0
0.9975739,1
0.99999964,1
0.99913615,1
0.9997131,1
0.94448,0
0.9999994,1
0.35380352,0
0.99943465,1
0.99747133,0
7.2272605e-10,0
1.0,1
0.9999943,1
0.6738661,1
1.0,1
0.9999999,1
0.90062773,1
0.9999999,1
0.9984156,1
0.99994516,0
0.68269455,0
0.99761045,1
1.0,1
0.9999999,0
0.0014529845,0
0.99983287,1
0.9999571,1
0.9999795,0
0.9999995,1
0.99909294,1
0.003175536,1
0.99999785,1
0.9999945,1
7.6190368e-06,1
2.429024e-06,0
0.005386225,1
0.99990034,1
0.9999999,1
0.9998578,1
0.9999969,1
0.99999523,1
0.98210263,1
0.0014840977,0
0.9996038,1
0.9720277,1
0.99999976,1
0.9999995,1
0.9999968,1
1.0,1
0.97401774,0
1.0,1
1.0,1
0.9999994,1
0.999982,1
0.67347556,1
1.0,1
8.437809e-05,0
0.18910119,0
1.0,1
0.9813486,1
0.99968266,1
0.9969126,1
1.0,1
0.8181076,0
0.99924916,1
1.0,0
0.4168331,1
0.00066082715,0
1.0,1
0.9999597,1
0.1295285,1
0.99996924,1
0.87502307,1
0.27670926,1
0.99822253,1
0.99999964,1
0.97472906,1
1.6606996e-10,0
0.99899954,1
0.99999845,1
3.6760986e-05,0
0.99986684,1
0.99876153,1
0.9996747,1
0.9999976,1
0.99880683,1
1.0,1
0.96272576,1
0.99932015,1
0.99834144,1
0.032305785,0
0.03408182,0
0.89583236,1
0.9999999,1
1.2327162e-07,0
0.99932575,1
0.9996333,1
0.99999976,1
0.010094836,0
7.533242e-05,0
0.97540545,0
0.99985206,1
0.018967021,0
0.9845004,1
0.9989863,1
0.9858283,1
0.011246087,0
0.99953306,0
1.0,1
0.9999999,1
0.9983772,1
0.00084187585,0
0.9864607,0
0.9990356,1
0.9999982,1
0.99969614,0
0.00016628785,1
0.99996066,0
0.9998567,1
2.2648213e-05,0
4.345846e-06,0
0.989302,1
0.025053546,0
2.677448e-07,0
0.29439217,1
0.0071231415,1
0.677054,1
0.99972326,1
0.0010792542,0
0.99994147,1
0.99999666,1
0.99845195,1
0.9999999,1
0.013008179,0
0.00087594544,0
0.3555716,1
1.0,1
0.999979,1
0.997017,1
0.99980885,1
0.9999733,1
0.9999362,1
0.0028217754,0
1.0,1
0.99999964,1
0.9994079,1
0.9999945,0
0.99999964,1
1.0,1
0.9999945,1
0.9886696,0
0.9999988,1
1.0,1
0.9999943,1
0.99998295,1
0.9999976,1
0.9999994,1
0.99998283,1
1.0,1
0.99983335,1
0.7760312,0
1.0,1
0.892698,0
0.9999937,1
0.9993662,1
0.9999975,1
4.268901e-05,1
0.36211112,0
1.0,1
0.9935355,1
1.0,1
0.9999993,1
2.7148746e-05,0
0.98793125,1
0.99983406,1
0.9999999,1
1.0,1
1.7685146e-07,0
0.7453828,1
0.9923423,1
0.016720204,0
0.99995947,1
0.0027349617,0
2.1805512e-05,1
0.009903552,0
0.9997875,1
0.99997103,1
0.96622777,1
0.99999917,1
0.99869746,1
0.37767428,0
0.9999994,1
0.9999994,1
0.9999913,1
3.6646412e-08,0
0.9971642,1
0.9981534,1
0.999884,1
0.95050126,1
0.9899715,1
0.99999857,1
0.9996228,1
0.99174094,1
0.9640374,1
0.034525424,0
0.99997246,1
0.8911862,1
0.9999976,1
0.9998317,1
0.9997627,1
0.99998736,1
0.99967885,1
0.9994868,1
