y_preds,y_test
0.53080124,0
0.6743769,1
0.9988607,1
0.26749283,1
0.12973239,1
0.9973031,1
0.9998915,1
0.9993937,1
0.95212686,1
0.63959396,1
0.98999196,0
0.12173925,1
0.9999082,1
0.0013648882,0
0.9969369,1
0.00062405627,0
0.62008744,1
0.99077034,1
0.8817167,1
0.0022848218,0
0.16668056,0
0.9999151,0
0.7034124,1
0.8573603,1
0.6211577,1
0.017071381,0
0.86848366,1
0.86762,1
0.9999908,1
0.99997723,1
0.9854755,1
0.05231909,1
0.98550016,1
0.9989286,1
0.92925584,1
0.99900025,1
0.01604751,0
0.9567556,1
0.00014784749,0
0.9952579,1
0.88974947,1
0.29119924,1
0.95183647,1
0.98372436,1
0.92552024,1
0.024873804,1
0.8415966,1
0.63472825,0
0.99998665,1
0.97893685,1
0.6132071,1
0.9930172,1
0.8718904,1
0.5552943,1
0.916652,1
0.9996183,1
0.022721728,0
0.9803058,0
0.4840309,1
0.8150763,1
3.1391133e-05,0
0.04983653,0
0.00043588434,0
0.071502395,1
0.9934609,1
0.99999845,1
0.27333972,1
0.990212,1
0.010615397,0
0.024343478,1
0.99459225,1
0.9337536,1
0.52216214,1
0.9891164,1
0.59807926,1
0.993937,1
0.0010543057,1
0.9420235,1
0.99911827,1
0.9875284,1
0.04917316,0
0.011067796,0
0.0007167517,0
0.99394965,1
0.1535679,1
0.938218,1
0.40681633,1
0.0062586493,0
0.81810576,1
0.9522127,1
0.95027107,1
0.11089259,1
0.69713736,1
0.0018079979,0
0.99999547,1
0.80290467,1
0.0012669071,0
0.99993706,1
0.99984705,1
0.99980205,1
0.9246014,1
0.99862623,1
0.6964166,1
0.30462858,1
0.051398758,1
0.990626,1
0.9861654,1
0.99995995,1
0.99555796,1
0.34068844,1
0.97632515,1
0.24307969,1
0.5380449,1
0.9976891,1
0.99949527,1
0.99999523,1
0.63233656,1
0.0048369,0
0.00053195696,0
0.5018267,1
0.9999645,1
0.004485867,1
0.6183092,1
0.040224325,0
0.9998907,1
0.6833006,0
0.99978536,1
0.873574,0
0.8691322,0
0.979883,1
0.98340225,1
0.46577334,1
0.9999933,1
0.9999864,1
0.9974262,1
0.9547352,1
0.34737423,1
0.8743573,0
0.085824884,0
0.53990984,1
0.9972006,1
0.94312996,0
0.11603859,0
0.9956018,1
0.88288736,1
0.99001724,0
0.99589324,1
0.29871514,1
0.20499913,1
0.9658503,1
0.99740064,1
5.077945e-05,1
0.036802895,0
0.043122802,1
0.99231744,1
0.98756266,1
0.9123329,1
0.04063285,1
0.99987936,1
0.97375643,1
0.41422233,0
0.97900826,1
0.9867639,1
0.6353039,1
0.9998135,1
0.9990054,1
0.99821496,1
0.19229156,0
0.8341263,1
0.92857623,1
0.96765333,1
0.9581887,1
0.029840311,1
0.9965229,1
0.011352313,0
0.8905136,0
0.9870581,1
0.88872296,1
0.29707333,1
0.9989969,1
0.9890204,1
0.8165049,0
0.99996495,1
0.999908,0
0.97787684,1
0.0012416235,0
0.23418364,1
0.3288132,1
0.90233713,1
0.9112162,1
0.6546029,1
0.95486486,1
0.7005433,1
0.9999999,1
0.8790934,1
0.0012954891,0
0.99880743,1
0.9992494,1
0.011656537,0
0.7580618,1
0.72258353,1
0.9192543,1
0.100582704,1
0.98718727,1
0.50667137,1
0.91399163,1
0.9983972,1
0.99958664,1
0.0017981646,0
0.49874058,0
0.8660087,1
0.9924057,1
3.0013718e-05,0
0.99178845,1
0.4716069,1
0.9103664,1
0.14660196,0
0.0012960407,0
0.06786615,0
0.99998534,1
0.0003103012,0
0.6739876,1
0.008120537,1
0.99710447,1
0.0118523445,0
0.5097798,0
0.9990403,1
0.72451967,1
0.87995356,1
0.0016940451,0
0.9995338,0
0.28407168,1
0.81009054,1
0.90148747,0
0.006877482,1
0.015644897,0
0.9999949,1
0.0014386245,0
0.00012550483,0
0.13628271,1
7.541192e-05,0
0.010834923,0
0.55513614,1
0.04869846,1
0.99936205,1
0.9988617,1
2.1304868e-05,0
0.99994123,1
0.99047583,1
0.03161458,1
0.9972396,1
0.0031044732,0
0.0004191603,0
0.85852987,1
0.9681318,1
0.6245643,1
0.98440105,1
0.9945452,1
0.99892324,1
0.7817465,1
0.00840745,0
0.9988601,1
0.99995863,1
0.99963856,1
0.97210747,0
0.9327764,1
0.9981823,1
0.7973308,1
0.005228157,0
0.96759236,1
0.999223,1
0.9982634,1
0.53391576,1
0.9349845,1
0.9820078,1
0.9306191,1
0.9136277,1
0.9218838,1
0.077175714,0
0.99993896,1
0.9729173,0
0.976947,1
0.69002974,1
0.9941269,1
0.00071367936,1
0.004965606,0
0.8729805,1
0.010796233,1
0.76564467,1
0.9999864,1
0.042408533,0
0.9997627,1
0.9954301,1
0.99567056,1
0.99979013,1
0.003092363,0
0.6271379,1
0.9882747,1
0.16469389,0
0.89726466,1
0.0052983146,0
0.0029386897,1
0.006821454,0
0.89189225,1
0.9856177,1
0.9903867,1
0.99991226,1
0.35863024,1
0.0016036426,0
0.7559448,1
0.9401739,1
0.99326634,1
0.0018856991,0
0.9649419,1
0.99957854,1
0.42967814,1
0.80939895,1
0.5326104,1
0.9993013,1
0.034446012,1
0.9101432,1
0.972357,1
0.0012248585,0
0.99552035,1
0.15355009,1
0.9994783,1
0.99376184,1
0.999172,1
0.9929246,1
0.49035737,1
0.94797695,1
0.36750188,1
0.95005745,1
0.99873585,1
0.9932128,1
0.2871358,0
0.747732,1
0.61089885,0
0.9524266,1
0.17019159,1
0.0027520682,0
0.99985015,1
