y_test,y_preds,y_pro
1.0,1.0,0.9767576
0.0,0.0,0.4466903
0.0,1.0,0.86525166
0.0,0.0,0.00011572893
1.0,1.0,0.98390627
1.0,0.0,0.39854872
0.0,0.0,0.009924501
1.0,1.0,0.9335567
0.0,0.0,3.542983e-05
0.0,0.0,0.008646483
1.0,0.0,0.23118539
1.0,1.0,0.5431503
0.0,0.0,1.1663612e-05
0.0,0.0,0.2688598
1.0,1.0,0.99404234
1.0,1.0,0.9719203
0.0,0.0,0.076744616
1.0,1.0,0.5154869
0.0,1.0,0.6708889
0.0,0.0,0.004041673
1.0,1.0,0.98558295
1.0,0.0,0.36957797
0.0,0.0,0.49490687
1.0,0.0,0.46398205
0.0,0.0,0.006675982
1.0,1.0,0.983462
1.0,1.0,0.99918276
0.0,0.0,0.0205801
0.0,0.0,3.2527134e-06
1.0,1.0,0.991676
0.0,0.0,0.0018657838
0.0,0.0,0.011079305
0.0,0.0,0.37942937
0.0,0.0,0.0018128753
0.0,0.0,0.31479838
0.0,0.0,0.0021138317
1.0,0.0,0.46947083
0.0,0.0,9.429035e-07
1.0,0.0,0.4135547
1.0,1.0,0.975557
0.0,0.0,0.3363822
0.0,0.0,0.019741358
0.0,0.0,0.004243132
0.0,0.0,0.10097334
0.0,0.0,2.0423315e-08
1.0,1.0,0.94418216
0.0,1.0,0.6754383
0.0,0.0,0.0002939123
0.0,0.0,0.0007318897
0.0,1.0,0.6332578
0.0,0.0,0.00021382881
1.0,0.0,0.010481246
1.0,1.0,0.987818
0.0,0.0,0.000984001
0.0,1.0,0.9900615
0.0,0.0,0.002098049
0.0,1.0,0.6911971
0.0,1.0,0.68370754
1.0,1.0,0.987559
1.0,1.0,0.9838304
1.0,0.0,0.13029158
1.0,1.0,0.6912733
1.0,0.0,0.05074595
1.0,0.0,0.1515937
1.0,1.0,0.5459541
1.0,1.0,0.9777529
0.0,0.0,0.12480749
1.0,1.0,0.9633169
1.0,0.0,0.10591638
0.0,0.0,0.00011097704
0.0,1.0,0.97089887
0.0,0.0,0.00105456
1.0,0.0,0.0033651714
1.0,1.0,0.9894398
1.0,0.0,0.23536293
1.0,1.0,0.9606795
0.0,1.0,0.7997603
0.0,0.0,0.23176694
0.0,1.0,0.970698
1.0,0.0,0.39670432
1.0,1.0,0.98593765
1.0,1.0,0.9501566
0.0,0.0,0.01897062
1.0,1.0,0.91964406
