y_test,y_preds,y_pro
1.0,1.0,1.0
0.0,0.0,0.18955114
1.0,1.0,0.97548884
0.0,0.0,1.1147688e-06
0.0,0.0,0.22143076
1.0,1.0,1.0
0.0,0.0,0.113122754
0.0,0.0,0.30640504
0.0,0.0,6.2214386e-11
1.0,1.0,0.9803288
1.0,1.0,0.99999297
1.0,1.0,0.9998932
0.0,0.0,5.469522e-09
1.0,1.0,0.9982079
1.0,1.0,0.99832433
0.0,1.0,0.882181
0.0,0.0,0.24358502
0.0,0.0,0.005098258
1.0,1.0,0.9999726
0.0,0.0,1.4499774e-06
0.0,0.0,3.5621073e-05
0.0,1.0,0.6785125
1.0,1.0,0.9957274
1.0,1.0,0.9997602
1.0,1.0,0.9999242
1.0,1.0,0.6215769
0.0,0.0,0.07473174
0.0,0.0,8.1067014e-08
0.0,1.0,0.80464166
0.0,0.0,0.21505901
1.0,1.0,1.0
0.0,1.0,0.9319485
1.0,1.0,0.9999999
1.0,1.0,0.99994755
1.0,1.0,1.0
1.0,0.0,0.14871234
1.0,0.0,0.048242725
1.0,1.0,1.0
0.0,1.0,0.97044826
1.0,1.0,0.95599383
1.0,0.0,0.36911902
1.0,1.0,0.9999827
0.0,1.0,0.9813896
1.0,1.0,0.99999976
1.0,1.0,0.9954852
1.0,1.0,1.0
0.0,0.0,0.2585912
0.0,1.0,0.9996424
1.0,1.0,0.9368541
0.0,0.0,3.077363e-05
0.0,0.0,0.060126606
0.0,0.0,0.052091517
0.0,0.0,7.570227e-08
1.0,1.0,0.9977531
1.0,1.0,1.0
1.0,1.0,0.99994266
0.0,1.0,0.773442
0.0,0.0,4.594567e-07
1.0,0.0,5.192135e-07
0.0,1.0,0.9983967
0.0,0.0,1.8268834e-06
0.0,1.0,0.8385273
1.0,1.0,0.99987257
0.0,0.0,5.524127e-07
1.0,1.0,0.9999993
1.0,1.0,0.99972814
1.0,1.0,0.99999547
1.0,1.0,0.9583852
0.0,0.0,3.1106513e-08
0.0,0.0,9.339192e-09
1.0,1.0,1.0
1.0,1.0,0.9948297
0.0,0.0,0.14661616
0.0,0.0,4.2971325e-05
0.0,1.0,0.99294573
1.0,1.0,0.99993813
0.0,1.0,0.9998511
0.0,1.0,0.99999774
0.0,0.0,3.9725855e-05
1.0,1.0,0.99091935
1.0,1.0,0.94315636
1.0,1.0,0.99999785
0.0,1.0,0.56100166
1.0,1.0,0.98303956
1.0,1.0,0.999972
1.0,1.0,0.9948959
1.0,1.0,0.76468915
0.0,0.0,0.0019952985
0.0,1.0,0.99986017
0.0,0.0,2.6922787e-06
1.0,1.0,0.99999833
0.0,0.0,3.7564276e-09
0.0,1.0,0.9334716
1.0,1.0,0.9999995
1.0,1.0,0.9771936
0.0,0.0,0.09335483
0.0,0.0,0.003086565
0.0,0.0,0.13784847
0.0,0.0,0.24998194
1.0,1.0,0.99999976
1.0,1.0,0.9999889
0.0,0.0,8.2240206e-08
1.0,1.0,0.9808233
0.0,0.0,0.003235734
1.0,1.0,0.9977962
1.0,1.0,0.99953794
0.0,1.0,0.7747771
0.0,1.0,0.9993297
0.0,1.0,0.9763491
0.0,0.0,0.0037186884
0.0,0.0,0.01702526
0.0,0.0,0.0015109709
0.0,0.0,0.09849298
0.0,0.0,3.8661988e-06
0.0,0.0,0.116754696
0.0,0.0,1.9750509e-05
0.0,0.0,0.14500049
1.0,1.0,0.9999989
0.0,0.0,2.0140713e-07
1.0,1.0,0.9999771
0.0,0.0,0.36411303
1.0,1.0,0.9989569
1.0,1.0,0.9999229
0.0,1.0,0.99550265
1.0,0.0,0.005208716
1.0,1.0,0.99999654
1.0,1.0,0.63527876
1.0,1.0,0.9812975
0.0,0.0,0.2638599
0.0,0.0,0.06486544
0.0,0.0,0.0007470303
0.0,0.0,4.612955e-05
1.0,1.0,0.9998192
0.0,1.0,0.83763784
1.0,1.0,0.9755799
1.0,0.0,0.26376858
1.0,1.0,0.9997571
1.0,1.0,0.9998605
0.0,0.0,1.886362e-06
0.0,1.0,0.99756974
1.0,1.0,0.997832
1.0,1.0,0.99887735
0.0,0.0,0.011588216
1.0,1.0,0.99989426
0.0,0.0,0.03948967
1.0,1.0,0.99999917
0.0,0.0,0.054554153
1.0,1.0,0.99999964
0.0,0.0,0.000107719636
0.0,0.0,0.0069780415
0.0,0.0,6.124552e-11
0.0,0.0,0.013361257
0.0,0.0,0.07388764
1.0,1.0,0.9954405
0.0,0.0,0.110186115
0.0,1.0,0.9888404
1.0,0.0,0.0119263455
1.0,1.0,0.99999726
1.0,1.0,0.9416169
1.0,1.0,0.99999
0.0,0.0,0.072390325
1.0,1.0,0.80825984
0.0,0.0,0.46583387
1.0,1.0,0.6759161
0.0,1.0,0.92328864
1.0,1.0,0.85683
1.0,1.0,0.91433656
1.0,0.0,0.17064284
0.0,1.0,0.8857012
1.0,1.0,0.9940181
0.0,0.0,3.7699958e-06
0.0,0.0,0.047265276
1.0,0.0,1.5737623e-05
1.0,1.0,0.9995196
0.0,1.0,0.5845098
0.0,0.0,0.0011359417
1.0,1.0,0.9999993
0.0,0.0,0.05161424
1.0,1.0,1.0
1.0,1.0,0.9999471
1.0,0.0,0.0019161619
1.0,1.0,0.9992347
1.0,1.0,0.99999964
1.0,1.0,0.9711468
0.0,0.0,2.5494955e-05
1.0,1.0,0.9397989
1.0,1.0,1.0
1.0,1.0,0.9999101
1.0,1.0,0.9997955
0.0,0.0,0.0040301788
1.0,1.0,0.9456364
0.0,0.0,0.002174217
0.0,0.0,0.0017094347
0.0,0.0,5.9522444e-07
0.0,0.0,0.00015989393
0.0,0.0,0.003724482
1.0,1.0,0.99999964
0.0,0.0,0.002409282
1.0,1.0,0.9999949
1.0,1.0,1.0
1.0,1.0,1.0
0.0,0.0,5.533366e-06
0.0,0.0,2.4639787e-11
1.0,1.0,0.99999964
1.0,1.0,0.99218553
1.0,1.0,1.0
0.0,0.0,2.9749188e-05
0.0,1.0,0.97950304
0.0,0.0,1.7519492e-17
1.0,1.0,1.0
1.0,1.0,0.9999894
0.0,1.0,0.9831717
1.0,0.0,0.0003717891
1.0,1.0,0.99987257
1.0,1.0,0.9999957
0.0,0.0,0.06343588
0.0,0.0,0.13644347
1.0,1.0,0.99987805
1.0,0.0,7.992075e-09
1.0,1.0,0.99088824
0.0,0.0,0.37034044
1.0,1.0,1.0
1.0,1.0,0.9985998
1.0,1.0,0.99994636
1.0,1.0,0.99992454
1.0,1.0,0.9999999
0.0,0.0,6.0464354e-05
1.0,1.0,0.9782615
0.0,0.0,5.044364e-07
1.0,0.0,0.00047303073
0.0,1.0,0.9864456
1.0,1.0,0.80205154
0.0,0.0,4.4262802e-09
1.0,1.0,0.9999938
1.0,0.0,0.11384908
0.0,0.0,1.0501854e-05
0.0,1.0,0.99961275
0.0,0.0,2.0895636e-06
1.0,1.0,0.9982388
0.0,1.0,0.9981256
0.0,0.0,0.00053416356
1.0,1.0,0.93213594
0.0,1.0,0.9802319
1.0,0.0,0.3564184
0.0,1.0,0.62835073
0.0,0.0,0.07129851
0.0,0.0,2.0158545e-07
0.0,1.0,0.91565436
1.0,1.0,0.9999244
1.0,1.0,0.99999714
1.0,1.0,0.99994457
1.0,0.0,0.014253673
1.0,1.0,0.9990877
0.0,0.0,1.087811e-05
0.0,1.0,0.9997979
0.0,0.0,0.0032130266
1.0,0.0,0.14360382
1.0,1.0,0.9999976
1.0,1.0,0.9998827
0.0,0.0,2.2519036e-05
1.0,0.0,2.2713255e-12
1.0,1.0,0.9998103
1.0,1.0,0.99999905
0.0,1.0,0.5375338
0.0,0.0,0.0023172596
1.0,1.0,0.99999475
1.0,1.0,0.9804238
0.0,0.0,5.870706e-09
0.0,1.0,0.998524
0.0,0.0,3.6138244e-05
0.0,0.0,2.7107738e-08
1.0,0.0,0.09173495
1.0,1.0,0.99203306
0.0,0.0,0.02390819
1.0,1.0,0.9999987
0.0,0.0,0.079298794
0.0,1.0,0.99866104
1.0,1.0,0.9992029
1.0,1.0,0.9969445
1.0,1.0,0.9982907
1.0,1.0,0.99999654
0.0,0.0,0.003274554
1.0,1.0,0.9950323
1.0,1.0,0.9994012
0.0,0.0,9.1056265e-08
0.0,0.0,0.00011943356
1.0,0.0,0.012195856
0.0,0.0,1.9782308e-05
0.0,1.0,1.0
1.0,0.0,0.06366093
1.0,1.0,0.99996996
1.0,1.0,0.57043487
0.0,0.0,9.852483e-05
0.0,0.0,6.93989e-05
0.0,0.0,0.047729574
0.0,0.0,0.0008254022
1.0,0.0,0.00041293903
0.0,0.0,9.303611e-10
0.0,0.0,0.0070038014
1.0,1.0,0.9999951
1.0,1.0,0.9999988
0.0,0.0,0.015094731
1.0,1.0,0.97734773
1.0,1.0,0.89576674
1.0,1.0,0.9988053
0.0,1.0,0.9994634
1.0,0.0,0.00074392045
0.0,0.0,0.109359376
0.0,1.0,0.9998746
