y_preds,y_test
0.9319589,1
0.30224898,0
0.99585426,1
5.9974165e-05,0
7.094156e-05,0
0.9962627,1
2.9843144e-12,0
1.0,0
3.1775922e-08,0
0.18239237,1
0.9999919,1
0.99676967,1
1.1553575e-06,0
1.0,1
0.9905137,1
0.00050128036,0
2.9156588e-05,0
6.3272324e-05,0
0.9895293,1
9.128545e-08,0
9.094859e-13,0
7.2120577e-07,0
0.009316863,1
0.5259945,1
0.8579859,1
0.003739145,1
0.0005579402,0
4.931201e-06,0
0.00037959657,0
0.0118120685,0
0.31539336,1
0.00067672227,0
1.0,1
0.99989593,1
0.9999958,1
0.0008041143,1
4.8591217e-05,1
0.018503446,1
0.0446531,0
0.98319906,1
0.57686514,1
1.0,1
8.461982e-05,0
0.002961588,1
0.9997079,1
0.99999964,1
7.706412e-07,0
9.706076e-07,0
0.9541067,1
3.8316691e-10,0
0.51508635,0
3.1505485e-09,0
2.5310007e-09,0
0.55962944,1
1.0,1
1.0,1
0.20120156,0
1.2368857e-08,0
0.9945878,1
0.011483179,0
1.3181992e-05,0
6.12228e-05,0
0.99997103,1
7.7388995e-06,0
0.80012524,1
0.9407369,1
0.45285195,1
0.0057144566,1
4.29276e-07,0
2.7159183e-07,0
1.0,1
8.2119413e-07,1
6.081421e-08,0
0.00015045961,0
0.02896818,0
0.9856834,1
0.9996846,0
0.9982022,0
0.001171928,0
0.966733,1
0.0023527201,1
0.5692234,1
0.0008679103,0
1.0,1
0.9868968,1
0.00024417063,1
0.01381021,1
3.632458e-05,0
6.191141e-09,0
0.00039250718,0
0.61960876,1
3.6068166e-11,0
0.70175993,0
1.0,1
2.3469684e-05,1
1.0217955e-06,0
4.3551086e-07,0
1.8989153e-08,0
0.019093554,0
0.96475154,1
0.9558024,1
4.4177106e-09,0
0.011719323,1
1.5311161e-06,0
0.9942304,1
0.8005749,1
0.00012347531,0
0.036538742,0
0.05834085,0
3.9010465e-06,0
4.2080828e-09,0
0.0021905494,0
0.99557364,0
0.548715,0
8.052366e-05,0
1.6976075e-09,0
6.584829e-06,0
0.9999882,1
0.00010841274,0
0.5173053,1
0.0009682217,0
0.99994254,1
0.9299372,1
0.94092524,0
0.2445591,1
0.9398873,1
0.008825697,1
0.039292064,1
8.9712434e-05,0
5.4822314e-05,0
0.0005948047,0
6.223756e-10,0
0.09947173,1
1.5272422e-08,0
0.7778046,1
0.7513802,1
0.9955544,1
0.0011021517,1
1.1102591e-11,0
0.001998844,0
1.0,1
0.024065377,1
0.0065703746,0
0.99900097,1
0.01953724,0
0.99007213,1
0.020252885,0
0.0027099624,1
2.6217501e-08,0
1.921156e-08,0
8.492546e-11,0
0.07686292,0
3.641461e-07,0
0.0017443747,1
4.3493973e-08,0
0.60291725,0
0.3319617,1
0.95469403,1
0.90320563,1
0.8497249,1
0.27918854,0
0.00047283998,1
0.0006611443,0
0.3491923,1
5.6872987e-06,0
8.978631e-06,1
0.09579067,1
3.619405e-05,1
1.8373806e-08,0
0.00010844024,1
8.153795e-07,0
2.312729e-08,0
0.9922218,1
0.9999999,1
0.8907867,0
4.6954337e-12,0
0.00021825891,1
1.2913182e-10,0
0.75274664,1
1.0,1
0.004017245,1
0.17999691,1
0.09271561,1
0.79456854,1
2.4355377e-06,0
0.9762576,1
2.6153057e-05,1
0.9080966,1
0.00014810188,1
3.2544967e-09,0
2.2408838e-05,1
7.302342e-08,0
7.2630524e-10,0
0.00018233321,0
1.0816659e-12,0
5.308077e-11,0
0.9997812,1
5.884062e-11,0
0.5438417,1
0.9997892,1
0.9965486,1
0.007207604,0
1.8129866e-07,0
0.99999964,1
8.476079e-06,1
0.9996213,1
7.102671e-05,0
0.80736727,0
8.42726e-11,0
1.0,1
0.99999905,1
0.0019038292,0
7.7679573e-07,1
0.87388855,1
1.0,1
0.00091830123,0
0.002744787,0
0.80800426,1
6.020339e-06,1
0.999918,1
0.98660815,0
1.0,1
0.9999999,1
0.5164083,1
0.9441598,1
0.010250726,1
4.098515e-09,0
0.0001679164,1
1.4048697e-08,0
7.236971e-05,1
0.33566496,0
0.03237535,1
5.287466e-10,0
0.99573815,1
0.05903732,1
1.2391932e-07,0
0.09150852,0
4.2959297e-08,0
0.43452123,1
0.9574071,0
1.06839246e-10,0
0.508247,1
0.0003395066,0
0.9582349,1
1.908766e-05,0
4.7221715e-07,0
7.037309e-07,0
0.0003538187,0
0.93950194,1
1.0,1
0.011425715,1
0.005876738,1
1.4985105e-06,1
4.0307327e-06,0
0.26917088,0
8.494078e-09,0
0.1587804,1
0.88666797,1
0.40423986,1
8.235079e-10,0
1.805373e-05,1
0.9995838,1
0.8528795,1
2.4815286e-06,0
3.4678442e-07,0
0.99353176,1
0.99857736,1
9.313914e-09,0
0.031855907,0
2.440747e-10,0
2.9916245e-07,0
0.76378334,1
0.021930108,1
0.103416,0
0.9999969,1
5.9198965e-06,0
0.38226604,0
0.96132165,1
0.71098155,1
0.51958185,1
0.8900306,1
1.2692732e-05,0
0.6067618,1
0.9999757,1
1.893192e-10,0
1.13026154e-07,0
4.734884e-06,1
3.5630246e-17,0
0.9923619,0
0.029343428,1
0.9875494,1
0.08735367,1
0.0011655011,0
0.02813386,0
0.42563787,0
4.3503596e-07,0
1.4168885e-06,1
2.2223361e-08,0
0.000111957364,0
1.0,1
1.0,1
7.460399e-08,0
0.32263923,1
0.48994306,1
0.99960524,1
0.91352344,0
5.0086373e-07,1
6.1176055e-05,0
0.014898475,0
0.5048965,1
0.9989262,1
0.7603962,1
0.04547158,0
0.6331529,0
0.99941623,1
0.06538283,1
0.015008946,0
0.99999964,1
1.18883206e-08,1
2.9378672e-05,0
2.9969565e-11,0
0.84000474,0
0.67508173,0
0.89943254,1
0.9999583,1
3.3680906e-05,0
0.7411785,1
8.310865e-07,1
0.034058273,1
7.211182e-09,0
0.9999852,1
0.0005889438,1
0.0064016767,1
6.35733e-06,0
0.00018112357,0
1.7412705e-05,0
0.9068904,0
8.8936495e-06,0
0.03326702,0
0.16591902,1
0.9996037,1
2.3619706e-09,0
9.434172e-05,0
0.9869298,1
6.7725637e-06,0
0.04251166,0
5.3103835e-05,0
1.459275e-10,0
0.99902403,1
4.299401e-10,1
0.13769397,1
1.6309155e-11,0
2.1391028e-07,0
6.2473404e-10,0
1.3808689e-07,0
0.9999999,1
0.99349195,1
0.32696134,1
1.7573193e-07,0
3.131068e-12,0
0.29663286,0
9.3140785e-05,0
0.9991917,1
1.0201903e-07,0
0.18226255,0
0.24326082,1
0.0017511151,0
0.99998736,1
0.6847667,1
0.13475367,1
0.9581221,1
0.00013799804,1
0.056794565,0
1.3020278e-09,0
0.0059856926,1
6.459011e-08,0
0.9608431,0
0.12597886,1
3.7557553e-12,0
0.9808085,1
0.0011557192,1
0.0017234627,1
6.0229966e-05,0
2.0068308e-10,0
0.9999455,0
0.2300518,1
0.9999291,1
1.5755433e-05,1
0.41911456,1
0.05544324,1
0.0007625343,0
2.3263635e-06,0
0.98754334,1
0.022825943,1
0.00049237127,0
0.0029253769,1
3.749443e-08,0
0.99872607,1
0.01204758,0
0.99996316,1
0.001049433,1
1.2644707e-05,0
0.029166577,0
0.00078537856,1
0.9986571,1
0.0014698915,1
0.01599711,1
4.0900468e-05,0
0.44062823,1
0.9977737,1
0.023040034,0
0.11127437,1
0.010212606,1
4.1342966e-05,1
0.975475,0
0.9999994,1
0.2951861,0
0.99999547,1
0.9993994,1
0.0033598435,0
0.90495795,1
0.00047137518,0
0.023847235,1
0.98162246,1
0.99997485,1
0.00019982095,0
0.97336584,1
0.11040058,1
6.8083615e-08,0
1.2413459e-07,0
0.011436244,0
0.9999654,1
1.0,1
0.005715153,0
0.043575853,0
0.9566066,1
0.014988734,0
7.897096e-09,0
0.026402501,0
1.0,1
0.015877927,1
0.9955852,1
0.00013878189,0
0.8284332,1
0.91344506,1
0.86847585,1
0.00011648767,0
0.24781285,0
0.009944885,0
3.2595588e-07,1
0.00029377782,0
0.9999999,1
0.6176336,1
0.9911062,1
0.9999993,1
1.0406477e-06,0
0.9999993,1
0.6108937,1
0.060690753,0
0.11737836,1
0.00025185803,0
8.656721e-07,1
0.9821852,1
2.5816295e-05,1
3.3393128e-06,0
0.99999976,1
0.81632435,0
0.81810474,1
1.0,1
0.7220197,1
0.9817696,0
6.840538e-07,0
4.413226e-06,0
0.00023532489,1
0.006990682,0
0.0010823106,1
0.1955011,0
0.9984666,1
0.1584323,1
5.959146e-05,0
0.011720693,1
0.25952986,1
1.0,1
0.04771785,1
0.0025668629,1
2.6081025e-07,0
0.999188,1
3.9780257e-06,0
0.4078999,1
0.00026341935,0
0.87411356,1
0.99985206,1
0.4225931,1
0.04705514,1
5.532819e-05,0
0.8696791,0
0.9996965,1
0.00017176583,1
2.2123093e-07,0
0.9880078,1
0.016709443,1
1.0,1
0.8576249,1
0.24234636,1
0.10791222,0
4.907538e-06,0
0.0028694307,0
0.00049574923,1
0.00059446663,0
0.99610186,1
0.8919567,1
0.8765323,1
0.06986034,1
0.99824,1
0.5245594,1
0.99996006,1
0.9999747,1
0.00048347932,1
1.9496678e-09,1
1.0,1
1.7057708e-12,0
0.06865891,1
0.9945913,1
0.004529683,1
6.6481194e-09,0
0.99926347,1
2.5635385e-05,0
0.9625584,1
0.9897103,0
0.0075679813,0
2.8011371e-15,0
0.77700716,0
0.99869543,0
0.97375804,1
0.05834085,0
0.9852363,1
0.998787,1
0.0017717462,1
0.99080384,1
0.99999297,1
0.999949,1
9.399735e-06,0
8.955049e-10,0
2.5014635e-05,1
0.9909402,1
0.12593047,0
0.975858,1
1.9533424e-08,1
0.0002041905,0
0.13717031,1
0.002568332,1
2.8123737e-05,0
2.698954e-12,0
4.3503065e-13,0
6.948503e-11,0
1.3175229e-06,1
3.3627143e-07,1
0.77153766,1
0.8125293,0
0.99924564,1
6.384103e-08,0
0.1832379,1
0.3537614,0
3.2446874e-07,0
1.0,1
0.9799748,1
0.015847763,0
0.87008333,1
0.99978167,1
8.834094e-09,0
0.31680855,1
0.07427822,0
0.99901974,1
0.9597919,1
4.6535096e-09,0
0.14438237,1
0.34884492,0
0.0023725452,0
1.6628782e-09,0
1.0,1
0.0059142103,1
0.0014337328,0
0.74170405,1
3.7856248e-07,0
1.0750435e-07,1
1.0,1
0.023402883,0
0.6433281,1
0.9999392,1
0.0035298294,1
0.9852437,1
2.7453527e-06,0
0.2940853,0
0.8770709,0
0.9526317,1
4.688192e-09,1
4.0163396e-08,0
0.02410005,1
0.57901984,1
0.683854,0
0.23297133,1
