y_preds,y_test
0.9723726,1
0.8349459,0
0.9512633,1
0.96833694,0
0.94128597,0
0.9696633,1
0.54865795,0
0.82971025,0
0.88723224,0
0.94326556,1
0.97433937,1
0.88646626,1
0.71965045,0
0.9451993,1
0.97191024,1
0.8274173,0
0.8000832,0
0.9746295,0
0.97168523,1
0.17159192,0
0.9212924,0
0.94609267,0
0.9973339,1
0.9319555,1
0.9952543,1
0.9719111,1
0.9674964,0
0.5569462,0
0.73247004,0
0.71293133,0
0.9975389,1
0.7675097,0
0.99967206,1
0.96716475,1
0.87992054,1
0.9604238,1
0.7479089,1
0.9728627,1
0.48629013,0
0.7318413,1
0.8910082,1
0.9961707,1
0.9943076,0
0.88244426,1
0.9798651,1
0.9972588,1
0.9839027,0
0.15243006,0
0.87434065,1
0.18605813,0
0.41178092,0
0.41630143,0
0.39614657,0
0.9420711,1
0.81784654,1
0.9804827,1
0.37270835,0
0.87210953,0
0.97634786,1
0.8989951,0
0.5599687,0
0.93370026,0
0.9941603,1
0.1395709,0
0.9992574,1
0.38946924,1
0.9910239,1
0.71593696,1
0.10208709,0
0.6359263,0
0.9948827,1
0.032564633,1
0.7088713,0
0.6945975,0
0.6018391,0
0.9870521,1
0.9915507,0
0.9957243,0
0.86220163,0
0.9983376,1
0.5475804,1
0.91070354,1
0.19121858,0
0.9708171,1
0.9939691,1
0.7092358,1
0.87437713,1
0.66680914,0
0.5444298,0
0.39794683,0
0.9424096,1
0.019011429,0
0.79689074,0
0.99876714,1
0.78918606,1
0.6599642,0
0.95464134,0
0.8923244,0
0.86393076,0
0.9884348,1
0.9974005,1
0.31079113,0
0.6918885,1
0.8377626,0
0.9350999,1
0.99658465,1
0.5578136,0
0.85032326,0
0.9232178,0
0.26933283,0
0.37597516,0
0.63514346,0
0.77179396,0
0.036070693,0
0.9604424,0
0.19585566,0
0.87009746,0
0.9968368,1
0.6327055,0
0.9909265,1
0.32215235,0
0.97751343,1
0.89832777,1
0.9786148,0
0.87875134,1
0.96125805,1
0.930205,1
0.9902962,1
0.9298927,0
0.7899862,0
0.8656002,0
0.43349725,0
0.9474157,1
0.88164574,0
0.983519,1
0.96720016,1
0.9608641,1
0.9409136,1
0.27243006,0
0.85315514,0
0.99727744,1
0.49341962,1
0.99590576,0
0.99859315,1
0.98913014,0
0.9949645,1
0.97186434,0
0.8757585,1
0.4161073,0
0.009776723,0
0.080720335,0
0.94217736,0
0.5408704,0
0.9869038,1
0.8624185,0
0.84479326,0
0.8677239,1
0.98914343,1
0.96203053,1
0.9755914,1
0.8738677,0
0.6414797,1
0.9862293,0
0.86948276,1
0.88298136,0
0.9089456,1
0.7335231,1
0.7806451,1
0.6649508,0
0.8125121,1
0.92664176,0
0.10725948,0
0.99260736,1
0.99941134,1
0.22608645,0
0.1536899,0
0.92967385,1
0.9008327,0
0.99478513,1
0.9583802,1
0.9696516,1
0.11220921,1
0.8690847,1
0.8609106,1
0.23615324,0
0.7657698,1
0.91812056,1
0.8774792,1
0.9692598,1
0.41655725,0
0.7178254,1
0.89732313,0
0.14786714,0
0.3042773,0
0.67562276,0
0.14469874,0
0.9185979,1
0.07244572,0
0.97792804,1
0.9393128,1
0.99165803,1
0.9766359,0
0.016152555,0
0.99573505,1
0.8820647,1
0.98941433,1
0.4384236,0
0.9241598,0
0.010665741,0
0.99920624,1
0.99674135,1
0.9483134,0
0.95044523,1
0.70393956,1
0.9988433,1
0.62928957,0
0.8948858,0
0.98683816,1
0.57359844,1
0.42275968,1
0.9476331,0
0.6179497,1
0.9444164,1
0.9685796,1
0.9968014,1
0.9821852,1
0.087217465,0
0.3553766,1
0.8704776,0
0.44132397,1
0.8892466,0
0.9756402,1
0.021125276,0
0.9638102,1
0.4553666,1
0.022190737,0
0.99305975,0
0.26012897,0
0.92962915,1
0.96539104,0
0.5341422,0
0.9873295,1
0.93238145,0
0.7561471,1
0.9588358,0
0.7297018,0
0.5421907,0
0.6334076,0
0.9986802,1
0.99853384,1
0.9475546,1
0.17248803,1
0.90825343,1
0.8707402,0
0.9760165,0
0.26179773,0
0.7868371,1
0.948982,1
0.9332208,1
0.3294377,0
0.17638429,1
0.9963231,1
0.99747145,1
0.9527834,0
0.69124985,0
0.9817068,1
0.8731172,1
0.13234659,0
0.9650161,0
0.27093148,0
0.40478012,0
0.95502365,1
0.6761798,1
0.93534,0
0.99668044,1
0.8449261,0
0.99178797,0
0.9569922,1
0.99409854,1
0.9984888,1
0.9983328,1
0.36074775,0
0.90373635,1
0.97376156,1
0.6132349,0
0.9829736,0
0.62135404,1
0.06587122,0
0.9948048,0
0.98777395,1
0.99808264,1
0.99370533,1
0.43705812,0
0.91727245,0
0.3568564,0
0.33790278,0
0.9569917,1
0.111670196,0
0.88549906,0
0.97859436,1
0.9767651,1
0.5422165,0
0.92177737,1
0.9384026,1
0.2929691,1
0.8749201,0
0.30792704,1
0.86850494,0
0.97197807,0
0.99844116,1
0.99625444,1
0.9844015,1
0.9653539,0
0.9425116,0
0.9833754,1
0.9397838,1
0.74571574,0
0.99875486,1
0.02601332,1
0.97774976,0
0.31036803,0
0.7447071,0
0.4342247,0
0.98842865,1
0.9885926,1
0.05722733,0
0.86954385,1
0.92836547,1
0.97979707,1
0.12358247,0
0.9205525,1
0.9759351,1
0.914325,1
0.052866306,0
0.1678113,0
0.055810086,0
0.8342686,0
0.5582448,0
0.72316146,0
0.99492353,1
0.9729365,1
0.14795367,0
0.71856236,0
0.99876285,1
0.82567614,0
0.9877445,0
0.9345267,0
0.37504932,0
0.992934,1
0.46564916,1
0.60870326,1
0.1542319,0
0.71140754,0
0.9044066,0
0.9698704,0
0.98427445,1
0.92934334,1
0.99061733,1
0.45546782,0
0.23821414,0
0.9072751,0
0.26954988,0
0.8146162,1
0.2325177,0
0.79594064,0
0.92579806,1
0.86963385,0
0.9945427,1
0.59515685,1
0.99013686,1
0.99587387,1
0.73301727,1
0.4349805,0
0.56832534,0
0.9443202,1
0.88964987,0
0.93310755,0
0.9954904,1
0.24160656,0
0.9892179,1
0.97124374,1
0.70437604,1
0.8933884,0
0.90822583,0
0.23278767,0
0.8104051,1
