y_test,y_preds,y_pro
1.0,1.0,0.5391117
0.0,1.0,0.9901951
0.0,0.0,0.23015931
1.0,0.0,0.031493343
0.0,0.0,0.0019661037
0.0,0.0,0.1657232
1.0,1.0,0.9990252
1.0,0.0,0.23110549
0.0,0.0,0.49472198
1.0,1.0,0.95482713
0.0,0.0,0.07562883
0.0,0.0,0.28682333
1.0,0.0,0.490237
1.0,1.0,0.87317944
0.0,1.0,0.59710896
0.0,0.0,0.47268754
1.0,1.0,0.9295152
0.0,1.0,0.51367813
0.0,0.0,0.45987624
0.0,0.0,0.03672463
1.0,1.0,0.95192635
0.0,0.0,0.01124491
0.0,1.0,0.74601424
1.0,1.0,0.9931393
0.0,0.0,0.00092573673
1.0,1.0,0.8149987
0.0,1.0,0.53175974
1.0,1.0,0.94008553
0.0,0.0,0.056819282
0.0,0.0,0.0047407
0.0,0.0,0.09602601
0.0,0.0,0.0028456917
1.0,1.0,0.96892256
1.0,1.0,0.9057715
0.0,0.0,0.4707398
1.0,1.0,0.81382227
0.0,0.0,0.08721885
1.0,1.0,0.7719387
0.0,0.0,0.008450812
1.0,1.0,0.9694893
0.0,0.0,0.20186655
1.0,1.0,0.9680874
1.0,1.0,0.9359925
1.0,0.0,0.47821486
0.0,1.0,0.85260653
1.0,1.0,0.9996486
1.0,1.0,0.88516015
0.0,0.0,0.004970627
1.0,1.0,0.9882968
1.0,1.0,0.90391004
0.0,0.0,0.2534419
0.0,0.0,0.0006702055
0.0,0.0,0.021277435
0.0,1.0,0.9288783
1.0,1.0,0.813915
0.0,0.0,0.07153976
1.0,1.0,0.8475855
1.0,1.0,0.92147356
0.0,0.0,0.18829475
1.0,0.0,0.15983534
1.0,1.0,0.989465
0.0,0.0,0.0011934681
0.0,0.0,0.04232201
0.0,0.0,0.19458307
1.0,1.0,0.8592811
1.0,1.0,0.7601761
1.0,1.0,0.7773312
1.0,1.0,0.99517363
1.0,0.0,0.04887308
1.0,0.0,0.4869698
0.0,0.0,0.28424564
0.0,0.0,0.013191885
1.0,0.0,0.2156168
0.0,0.0,0.0001411671
0.0,1.0,0.8732628
0.0,0.0,0.16688094
1.0,1.0,0.99112505
1.0,0.0,0.010669565
1.0,1.0,0.75771475
0.0,0.0,0.06586352
0.0,0.0,0.0013876322
1.0,1.0,0.82156587
0.0,0.0,0.04595239
1.0,1.0,0.96116984
0.0,0.0,0.005768601
1.0,1.0,0.99920374
1.0,1.0,0.9953759
0.0,0.0,0.0025419523
0.0,0.0,0.057853166
1.0,1.0,0.80956286
0.0,0.0,0.013167246
1.0,0.0,0.45506203
0.0,0.0,0.00056976534
1.0,1.0,0.89035416
1.0,0.0,0.32027984
1.0,1.0,0.99520856
0.0,0.0,0.0017858682
0.0,0.0,0.051564872
0.0,1.0,0.56588393
0.0,0.0,0.012902903
1.0,1.0,0.88773704
0.0,0.0,0.010807993
0.0,0.0,0.11089298
1.0,1.0,0.9933148
1.0,1.0,0.9711726
1.0,1.0,0.959664
0.0,1.0,0.5553933
1.0,1.0,0.877546
0.0,1.0,0.8305323
0.0,0.0,0.37591532
1.0,1.0,0.99777836
1.0,1.0,0.9997496
0.0,0.0,0.2935408
1.0,0.0,0.44221854
1.0,1.0,0.5046818
0.0,0.0,0.09386186
1.0,0.0,0.4417594
0.0,0.0,0.0014796461
1.0,1.0,0.58697444
1.0,1.0,0.99289775
1.0,1.0,0.920006
0.0,0.0,0.11086234
0.0,0.0,0.101887465
0.0,0.0,0.020095179
1.0,1.0,0.99675554
1.0,1.0,0.5309749
1.0,0.0,0.053009596
1.0,1.0,0.997012
0.0,1.0,0.9171888
0.0,0.0,0.008092187
0.0,0.0,0.0077770185
1.0,1.0,0.94690335
0.0,1.0,0.6941103
1.0,1.0,0.65770644
0.0,1.0,0.58838034
1.0,1.0,0.644303
1.0,1.0,0.9507384
0.0,0.0,0.0006407428
1.0,0.0,0.19681299
0.0,1.0,0.8081615
1.0,1.0,0.7812818
1.0,1.0,0.9976833
1.0,1.0,0.6169641
1.0,1.0,0.94656485
0.0,0.0,0.3861699
1.0,1.0,0.6500473
1.0,0.0,0.46122813
1.0,0.0,0.08007289
0.0,0.0,0.05540361
1.0,1.0,0.985145
0.0,0.0,0.0051820995
1.0,1.0,0.9989089
1.0,1.0,0.997062
1.0,1.0,0.9919974
1.0,1.0,0.9155389
1.0,1.0,0.9931346
0.0,1.0,0.8479784
0.0,0.0,0.009668847
1.0,1.0,0.9917943
0.0,0.0,0.00080251636
0.0,1.0,0.87285584
1.0,1.0,0.9385096
0.0,1.0,0.9610873
0.0,0.0,0.13091333
1.0,1.0,0.5987867
1.0,1.0,0.99363685
0.0,0.0,0.018548582
1.0,1.0,0.99941957
1.0,0.0,0.1507774
1.0,1.0,0.9598232
1.0,1.0,0.7699032
0.0,0.0,0.4529377
1.0,0.0,0.03524332
0.0,0.0,0.10549447
0.0,0.0,0.023390686
0.0,1.0,0.68934584
1.0,1.0,0.99236953
1.0,1.0,0.7706092
1.0,1.0,0.9898706
1.0,1.0,0.9882741
1.0,1.0,0.9927763
1.0,1.0,0.8707125
1.0,0.0,0.21283899
1.0,1.0,0.5761323
1.0,1.0,0.9774575
1.0,1.0,0.92133445
1.0,0.0,0.1476943
0.0,0.0,0.05669242
0.0,0.0,0.0039326847
1.0,1.0,0.98448133
0.0,1.0,0.8596026
0.0,1.0,0.66053414
0.0,0.0,0.0028619624
0.0,0.0,0.13339578
1.0,1.0,0.9844284
0.0,0.0,1.0256468e-05
1.0,0.0,0.13013045
0.0,1.0,0.51464766
0.0,0.0,0.1850923
1.0,1.0,0.9855157
0.0,0.0,0.26753566
0.0,1.0,0.88737106
1.0,1.0,0.983527
0.0,0.0,0.000177418
1.0,1.0,0.7503607
1.0,0.0,0.016852798
1.0,1.0,0.98547864
1.0,1.0,0.95253867
1.0,1.0,0.9663889
1.0,1.0,0.99843925
0.0,0.0,0.46083605
1.0,1.0,0.9998982
0.0,0.0,0.00434516
1.0,0.0,0.4019906
0.0,0.0,0.00067204854
0.0,0.0,0.03932233
0.0,0.0,0.1843769
0.0,0.0,0.020419972
1.0,1.0,0.92365295
1.0,1.0,0.9889131
1.0,0.0,0.15648915
0.0,1.0,0.85952234
1.0,1.0,0.9998173
1.0,1.0,0.9229416
1.0,1.0,0.999605
0.0,1.0,0.7642065
0.0,0.0,0.018548232
1.0,1.0,0.9930987
0.0,0.0,0.06902662
1.0,1.0,0.99148655
0.0,0.0,0.045707326
1.0,1.0,0.9860242
0.0,0.0,0.023195816
0.0,0.0,0.03893969
1.0,1.0,0.9681087
1.0,1.0,0.79639494
1.0,1.0,0.99990404
1.0,1.0,0.9158131
0.0,0.0,0.033286184
1.0,1.0,0.7293644
1.0,1.0,0.9929133
1.0,1.0,0.97990924
1.0,0.0,0.23912597
0.0,0.0,0.030069837
1.0,1.0,0.9820242
1.0,1.0,0.96812135
1.0,1.0,0.9821769
0.0,0.0,0.06011352
0.0,0.0,0.07091785
0.0,0.0,0.17305793
0.0,0.0,0.45386064
0.0,0.0,0.07085134
0.0,1.0,0.80221015
0.0,1.0,0.8842904
1.0,0.0,0.1880614
0.0,0.0,0.14502013
0.0,1.0,0.7589082
0.0,0.0,0.000383979
1.0,1.0,0.9096081
1.0,1.0,0.5115893
0.0,0.0,0.0026985453
0.0,0.0,0.006727977
0.0,1.0,0.9592019
0.0,0.0,0.0053031673
1.0,1.0,0.9430426
1.0,1.0,0.99024475
1.0,0.0,0.44562978
1.0,1.0,0.94482416
1.0,1.0,0.5883304
1.0,1.0,0.58948445
1.0,1.0,0.9991738
1.0,0.0,0.054780483
0.0,1.0,0.529372
1.0,1.0,0.950636
1.0,0.0,0.0015426611
0.0,0.0,0.4070384
1.0,1.0,0.97540015
0.0,0.0,0.014823282
0.0,1.0,0.89261913
1.0,1.0,0.9804401
1.0,1.0,0.99201196
1.0,1.0,0.9977302
1.0,1.0,0.88130647
0.0,1.0,0.77730787
1.0,1.0,0.7138834
1.0,1.0,0.9861843
1.0,1.0,0.9943968
1.0,0.0,0.41605932
0.0,0.0,0.47396767
0.0,1.0,0.97360885
1.0,1.0,0.90990746
1.0,0.0,0.4213555
1.0,1.0,0.99954104
0.0,0.0,0.032459706
0.0,0.0,0.04763248
1.0,1.0,0.99514824
1.0,0.0,0.2361763
0.0,0.0,0.05788236
0.0,0.0,0.0052608517
0.0,0.0,0.0029962729
0.0,0.0,0.04029879
0.0,1.0,0.6245294
1.0,1.0,0.9999485
1.0,0.0,0.17579919
0.0,1.0,0.73176306
1.0,1.0,0.6704571
0.0,0.0,8.44144e-06
0.0,0.0,0.0011132212
1.0,1.0,0.8106486
1.0,1.0,0.8125276
1.0,1.0,0.9994382
1.0,0.0,0.007813445
0.0,0.0,0.017251013
0.0,0.0,0.019798456
0.0,0.0,0.1703828
0.0,1.0,0.66611695
0.0,0.0,0.1052692
1.0,1.0,0.92452264
0.0,0.0,0.036485482
0.0,0.0,0.1023643
