y_preds,y_test
0.29018235,1
0.9997031,0
0.14194472,0
0.07154982,1
0.00014968432,0
0.009043138,0
0.9995414,1
0.2964739,1
0.009395874,0
0.96301454,1
0.9819255,0
0.82706845,0
0.4603705,1
0.015512311,1
0.9921387,0
0.23119818,0
0.9945261,1
0.97995996,0
0.78113574,0
0.0016382119,0
0.80631006,1
0.21433735,0
0.99995005,0
0.97656393,1
0.06210469,0
0.99885523,1
0.08887125,0
0.9939366,1
0.013553425,0
0.001398354,0
0.17699884,0
0.14271879,0
0.9921381,1
0.9865493,1
0.1443437,0
0.99840873,1
0.31686082,0
0.9996338,1
0.8962794,0
0.9958181,1
0.83682555,0
0.7872912,1
0.8683617,1
0.78535444,1
0.9934181,0
0.92321587,1
0.9895481,1
0.00057092705,0
0.9703381,1
0.99959224,1
0.0042349906,0
0.89571035,0
0.98028564,0
0.97477335,0
0.89865494,1
0.07015303,0
0.9993406,1
0.9971245,1
0.94485044,0
0.9999162,1
0.9979322,1
0.45230278,0
0.001046145,0
0.021330565,0
0.8688796,1
0.6708975,1
0.2387961,1
0.9981712,1
0.011857104,1
0.6941898,1
0.54235744,0
0.19841078,0
0.20398457,1
0.0024307105,0
0.99915934,0
0.004722061,0
0.99992347,1
0.39537403,1
0.5044689,1
0.007926133,0
0.03986305,0
0.046392698,1
0.05099739,0
0.8490486,1
0.7584472,0
0.99878496,1
0.99996316,1
0.024618424,0
0.93738985,0
0.20173582,1
0.3334399,0
0.20074184,1
0.028132409,0
0.25093532,1
0.2157549,1
0.99296594,1
0.0030980057,0
0.9826356,0
0.0009931794,0
0.0036860052,0
0.99682707,1
0.0060742567,0
0.08459598,0
0.98416317,1
0.93417245,1
0.042516455,1
0.11675175,0
0.9709916,1
0.9517763,0
0.5658427,0
0.99992085,1
0.99858177,1
0.0020121874,0
0.98750186,1
0.9800189,1
0.00022966367,0
0.9609,1
0.0029620582,0
0.5658334,1
0.9997727,1
0.7063513,1
0.021583393,0
0.0030691556,0
0.63915193,0
0.99984455,1
0.00045333305,1
0.1845136,1
0.97063905,1
0.9934049,0
0.036882255,0
0.0086975675,0
0.92881167,1
0.91274434,0
0.3631388,1
0.005291125,0
0.99140394,1
0.99924266,1
9.3267336e-05,0
0.066090025,1
0.30512285,0
0.9827639,1
0.999686,1
0.5632654,1
0.8495504,1
0.056544747,0
0.07724966,1
0.47443518,1
0.4629265,1
0.018301029,0
0.84176445,1
0.67811316,0
0.99997354,1
0.9961138,1
0.9999715,1
0.9582871,1
0.99923193,1
0.9503184,0
0.88048667,0
0.4541615,1
0.14595178,0
0.96666104,0
0.75951016,1
0.9999994,0
0.004978132,0
0.9918216,1
0.9994548,1
0.013451673,0
0.997246,1
0.99613875,1
0.9996315,1
0.9995846,1
7.286865e-05,0
0.030137124,1
0.3445043,0
0.002139183,0
0.33501613,0
0.99970466,1
0.9074782,1
0.9882671,1
0.5197532,1
0.9999999,1
0.9892647,1
0.4356023,1
0.99586725,1
0.9984944,1
0.4223212,1
0.17245972,1
0.0050543575,0
0.1076091,0
0.99980706,1
0.40660322,0
0.23708819,0
0.11578648,0
0.007795776,0
0.99520975,1
0.021878988,0
0.4010314,1
0.07916316,0
0.13263471,0
0.99677414,1
0.04473003,0
0.5287448,0
0.9999627,1
0.00027781527,0
0.77072173,1
0.3153795,1
0.78057265,1
0.9532229,1
0.01311635,1
0.99987924,1
0.068408296,0
0.99999535,1
0.0011437655,0
0.7014643,1
0.1695159,0
3.0199937e-05,0
0.018567007,0
0.13668187,0
0.7976343,1
0.9734987,1
0.9468545,1
0.45002607,0
0.98362744,1
0.012520272,1
0.99990845,1
0.0074148704,0
0.025941906,0
0.9973507,1
0.00111314,0
0.9912384,1
0.08847872,0
0.99995077,1
8.077035e-06,0
0.002929167,0
0.9975815,1
0.66320634,1
0.99968815,1
0.9840805,1
0.018225793,0
0.9944483,1
0.99757177,1
0.95821816,1
0.21290542,1
0.08261654,0
0.99958855,1
0.9500585,1
0.97319835,1
0.7079478,0
0.56880325,0
0.015611837,0
0.97756904,0
0.14446978,0
0.0076486208,0
0.28508672,0
0.050259046,1
0.95734584,0
0.0035658062,0
0.0023251714,0
0.9630046,1
0.8545451,1
0.7065204,0
0.0431967,0
0.9991008,0
0.002528725,0
0.59179413,1
0.99999833,1
0.34831378,1
0.97858423,1
0.0011132975,1
0.93646395,1
0.99999654,1
0.0008626267,1
0.6183032,0
0.99993193,1
0.035201475,1
0.88826483,0
0.9992218,1
0.0023237383,0
0.88058484,0
0.99956506,1
0.9990957,1
1.0,1
0.99992204,1
0.44896263,0
0.55928147,1
0.99998736,1
0.96432155,1
0.9999813,1
0.7838263,0
0.44892645,0
0.95487845,1
0.99942774,1
0.98296607,1
0.0020829283,0
0.40489992,0
0.9999604,1
0.119867615,1
0.024222218,0
0.042249806,0
0.00025851635,0
0.010946714,0
0.46707597,0
0.9999622,1
0.30439588,1
0.9794561,0
0.99958867,1
0.20195298,0
0.0104410555,0
0.9574839,1
0.99423605,1
0.9999411,1
0.01943499,1
0.007847439,0
0.012207765,0
0.2817744,0
0.9905252,0
0.08751364,0
0.90141124,1
0.0010889781,0
0.00020497816,0
0.058610003,1
0.00053398137,0
0.9995073,1
0.011466693,0
0.89949465,1
0.060009204,0
2.051569e-05,0
0.9993905,1
0.9844737,1
0.02533397,0
0.0036774394,0
0.99955016,1
0.9999981,1
0.0010655096,0
0.96355236,1
0.9965689,1
0.0021072146,0
0.98508483,1
0.9946414,1
0.61675364,1
0.9991392,1
0.9542886,1
0.9999925,1
0.99616903,1
0.15406086,1
0.13653131,1
6.235814e-06,0
0.94441134,1
0.00045403474,0
0.07963734,0
0.028398264,0
0.9851638,1
0.20728093,0
0.33165333,1
0.19902936,0
0.013882266,0
0.5457009,0
0.99829155,1
0.99825615,1
0.14134483,0
0.9829033,1
0.45759267,0
0.00049716065,1
0.033887338,0
0.033568013,0
0.06087683,0
0.99807477,1
0.31864202,0
0.9997737,1
0.20745215,0
0.96876615,1
0.12250804,0
0.60441816,1
0.046416413,0
0.9957709,0
0.9142921,0
0.2623903,0
0.9569801,1
0.1589896,0
0.71983767,0
0.08515842,0
0.8381011,1
0.6875456,1
6.321407e-06,0
0.99992406,1
0.0043488126,0
0.080294356,1
0.99361527,1
0.9697225,1
0.9995702,1
0.9815881,1
0.6527887,0
0.87095857,0
0.633736,1
0.9997228,1
0.9991472,0
0.007294652,0
0.0054551284,0
0.05891431,0
0.8182068,0
0.03496772,0
0.44170487,0
0.8114416,0
0.9966164,1
0.99994636,1
0.97908837,1
0.03849572,0
0.19718622,0
0.034437276,0
0.9998661,1
0.98661995,1
0.005725095,0
0.9929182,1
0.9992834,1
0.9287148,1
0.029586582,0
0.031776965,1
0.9988109,0
0.91519094,0
0.99650216,1
0.9041732,0
0.0009129446,0
0.45048335,0
0.0041710148,0
0.0009089317,1
0.0028559107,0
0.16158554,0
0.9962859,1
0.9955597,0
0.99571407,1
0.91645986,0
0.0060093603,0
6.750787e-06,0
0.75360775,1
0.00079909846,0
0.20679425,1
0.7232239,1
0.00789987,0
0.99999547,1
0.9993705,1
0.7659007,0
0.9998547,0
0.9569864,1
0.33465484,0
0.99982125,1
0.00041034986,0
0.99089515,1
0.9552014,1
0.01826103,0
0.019076942,0
0.04320762,0
0.12166885,0
0.6481913,1
0.00019791134,0
0.45167258,0
0.0023764002,0
0.002522829,0
0.99556845,1
0.6752135,1
0.23730983,1
0.969217,1
0.94183534,1
0.64885056,0
0.98120487,1
0.009426565,0
0.16129386,0
0.9886241,1
0.99993706,1
0.03054005,0
0.003847669,0
0.9289948,1
0.0014093864,0
0.99926907,1
0.99999356,1
0.9667808,0
0.92199457,1
0.22275767,0
0.04235641,0
0.13617529,1
0.00038639648,0
0.5914266,0
0.9764557,1
0.9999956,1
0.9992126,0
0.999984,1
0.3938641,0
0.0050894665,1
0.004322194,0
0.99766976,1
0.93275964,0
0.99924845,1
0.021039017,0
0.3336447,1
0.014297034,0
0.99819237,1
0.033035707,0
0.019127503,0
0.8019372,1
0.00016912169,0
0.7833748,1
0.9874228,1
0.94382256,1
0.6425437,1
0.99220896,1
0.076741606,0
0.25305486,0
0.016243154,0
0.99060553,1
0.9955379,1
0.9926442,1
0.007846433,0
0.99996364,1
0.99933654,1
0.9931443,1
0.99887484,1
0.5972117,1
0.96621424,0
0.09236428,0
0.8991549,1
0.48447853,0
2.9689218e-05,0
0.0061976584,0
0.1909254,0
0.6590812,0
2.2936409e-05,0
0.014222384,1
0.971235,1
0.43286237,1
0.07953596,0
0.00069872866,0
0.0012830971,0
0.9002438,0
0.00034433295,0
0.15160875,0
0.51984125,1
0.0007002529,0
0.83220667,0
0.9972203,1
0.99560225,0
0.9106213,1
0.7244374,1
0.99872607,1
0.99753356,0
0.5255221,0
0.7503681,0
0.8798906,1
0.017041355,0
0.75257427,0
0.999951,1
0.69970566,1
0.9981989,1
0.9964728,1
0.31608075,1
0.97585773,0
0.9754497,1
0.077458106,1
0.58452165,0
0.87993354,1
0.9576866,0
0.08584607,0
