y_preds,y_test
0.99888426,1
1.0,0
0.04471839,0
0.5307878,1
0.0005401019,0
0.009979353,0
0.9999894,1
0.7694414,1
0.07444715,0
0.99999905,1
0.349433,0
0.97928005,0
0.99534166,1
0.73950785,1
1.0,0
0.9907794,0
0.9989755,1
0.113733046,0
0.999992,0
0.023110613,0
0.56436336,1
0.4005258,0
0.9962398,0
0.9999144,1
4.2694424e-05,0
0.9999708,1
0.5229366,0
0.99995327,1
0.99999464,0
0.98456824,0
0.7469684,0
0.012846127,0
0.9999958,1
0.6415293,1
0.9988206,0
0.989585,1
0.19674924,0
0.9999968,1
0.2688418,0
0.8471305,1
0.99993765,0
0.9901931,1
0.99998164,1
0.9913743,1
0.997259,0
0.9016935,1
0.99854076,1
0.00046008654,0
0.9999956,1
0.9999453,1
0.034191415,0
0.076464504,0
0.014622478,0
0.99995327,0
0.0008209711,1
2.2466847e-05,0
0.99686277,1
0.9994318,1
0.9998977,0
0.9998529,1
0.99952734,1
0.24548738,0
0.64891815,0
0.015876027,0
0.9999622,1
0.07768087,1
0.2081933,1
0.9999938,1
0.023416055,1
0.0388412,1
0.021318035,0
0.0011486646,0
2.0090924e-06,1
6.1149585e-06,0
0.9771966,0
0.62214375,0
0.99992454,1
0.20254561,1
0.9252074,1
0.7163756,0
0.00042022075,0
0.76300114,1
0.34112975,0
0.041431714,1
0.24074923,0
0.9999924,1
0.97344583,1
4.528088e-06,0
0.90392965,0
0.99999976,1
0.0009914001,0
0.76635236,1
0.00016904881,0
0.9999652,1
0.00043488704,1
0.9836738,1
7.2090195e-05,0
0.12095184,0
0.9969406,0
0.24990574,0
0.9190908,1
0.0010263157,0
0.3087718,0
0.1523887,1
0.9997248,1
1.0,1
1.24049175e-05,0
0.9999993,1
0.9999659,0
8.643228e-06,0
0.99998486,1
0.8441516,1
0.00013377568,0
0.99786973,1
0.9997358,1
0.2724462,0
0.0046179947,1
0.0010926999,0
0.3280232,1
0.8986831,1
0.99600804,1
0.80799377,0
0.00027662958,0
0.9989442,0
0.9999746,1
0.06995406,1
0.0058200536,1
0.9999999,1
0.99999845,0
0.007993063,0
6.130824e-07,0
0.999863,1
0.99915195,0
0.9986181,1
0.07113499,0
0.99998796,1
0.9999976,1
0.794428,0
0.9006759,1
0.25141445,0
0.91489786,1
0.452584,1
0.22609092,1
0.9990398,1
0.9417757,0
0.25515494,1
0.5937691,1
0.00031722346,1
0.037811458,0
0.9973169,1
0.001447836,0
0.9999919,1
1.0,1
1.0,1
0.99913436,1
0.9870014,1
0.9341762,0
0.11449141,0
0.79431754,1
0.3524412,0
0.9974589,0
0.027007364,1
0.99999094,0
0.783996,0
0.9999881,1
0.99999964,1
0.086213574,0
0.99929416,1
0.9871442,1
0.946362,1
0.99999654,1
0.66358954,0
0.7774122,1
0.9983524,0
0.002220875,0
0.6609419,0
0.98911566,1
0.9999751,1
0.96988434,1
0.76521635,1
0.9996025,1
1.0,1
0.0046304082,1
0.99998355,1
0.7820762,1
0.9988607,1
0.996123,1
0.15838458,0
0.06460595,0
0.9998747,1
0.99992096,0
0.05397899,0
0.0044736564,0
0.44754568,0
0.7154501,1
0.0067463187,0
0.19031931,1
3.7529068e-07,0
0.99626714,0
0.9999999,1
0.6373193,0
0.9989766,0
0.99997437,1
0.90635633,0
0.08333559,1
0.4024981,1
0.99993277,1
0.99997675,1
0.9924158,1
0.9999962,1
0.0010009869,0
1.0,1
0.54823405,0
0.9999989,1
0.5854627,0
0.012454884,0
0.28154895,0
0.24570636,0
0.99994457,1
0.6074904,1
0.011856724,1
0.2192111,0
0.99999905,1
0.5144348,1
0.9543308,1
0.9999989,0
0.05058683,0
0.99887854,1
0.0012713815,0
0.9069689,1
0.8445933,0
0.99999785,1
0.8573836,0
0.86441916,0
0.9934645,1
0.9660569,1
0.9999888,1
0.7884124,1
2.953059e-06,0
0.3620592,1
0.97400326,1
0.962592,1
0.13406542,1
0.8550507,0
0.99999046,1
0.86838186,1
0.99999,1
0.8791367,0
0.99582076,0
0.11714032,0
0.9997868,0
0.93791014,0
2.1531517e-09,0
0.9476321,0
0.037308216,1
0.23957597,0
0.01591925,0
8.286007e-05,0
0.9370486,1
0.9999212,1
0.027951922,0
0.9302711,0
0.0009383516,0
0.98261964,0
0.9999933,1
0.9999677,1
0.096384265,1
0.9614185,1
0.0028314202,1
0.9458666,1
0.99936694,1
0.0035421755,1
0.9971831,0
0.99999,1
0.003684613,1
0.09388788,0
0.9999342,1
0.31473258,0
0.99419135,0
1.0,1
0.9997186,1
0.99998415,1
0.9989617,1
0.7695782,0
0.98812485,1
0.9999999,1
0.9345115,1
0.97323406,1
0.9904378,0
0.106581755,0
0.9999602,1
0.9661845,1
0.9999994,1
2.3728197e-05,0
0.99646384,0
0.9999485,1
0.14756158,1
0.2540524,0
0.18350652,0
0.00063003297,0
0.029579157,0
0.27365515,0
0.99999356,1
0.9999387,1
0.008992059,0
0.9999379,1
0.26361233,0
0.0209682,0
0.99284315,1
0.9999454,1
0.99999607,1
0.0026024128,1
0.00070198474,0
0.26427376,0
0.039781213,0
0.99971753,0
0.109741434,0
0.9861158,1
5.567322e-05,0
7.581035e-08,0
0.59236974,1
0.020241145,0
0.9964785,1
0.52421874,0
0.9933688,1
0.0020320457,0
0.06831954,0
0.9999734,1
0.9999819,1
0.0008517506,0
0.004977951,0
0.9999938,1
0.9999918,1
6.975612e-13,0
0.9987704,1
0.9999199,1
0.0033761503,0
0.9743438,1
0.29374132,1
0.13757387,1
0.9999999,1
0.93542415,1
0.9999504,1
0.99970514,1
0.2886951,1
0.9983163,1
0.019680038,0
0.9994135,1
0.011534459,0
0.20385094,0
0.8627462,0
0.40665507,1
0.9878299,0
0.35542443,1
0.81220615,0
0.0020636613,0
0.84177417,0
0.9999902,1
0.99980754,1
0.021734687,0
0.993141,1
0.00049624825,0
0.16099216,1
0.0019627027,0
0.84910905,0
0.00070328446,0
1.0,1
0.016268285,0
0.99997973,1
0.013411776,0
0.23687576,1
4.236409e-05,0
3.0178462e-05,1
0.78598803,0
0.27730307,0
